location,7CD9F4004569,7CD9F4009D60,7CD9F400C540,7CD9F400D5BD,7CD9F401AE04,7CD9F4028BBA,7CD9F402DE77,7CD9F402F48A,7CD9F4038463,7CD9F403A33C,7CD9F403A9A3,7CD9F403C26A,7CD9F40402E4,7CD9F4042BB9,7CD9F4192C39,7CD9F41C2ED9
"134,99",-95.34426229508196,-75.42948717948718,-95,-95,-95,-84.27966101694915,-95,-95,-94.47222222222224,-85.14529914529915,-95,-95,-93.26582278481013,-84.45454545454545,-95,-80.6896551724138
"144,84",-96.92857142857144,-83.09174311926606,-95,-95,-95,-85.624,-95,-95,-92.2391304347826,-91.23255813953487,-95,-95,-92.33333333333331,-83.34482758620689,-95,-81.25641025641026
"152,76",-96.83333333333331,-88.4639175257732,-98.11111111111111,-95,-95,-74.70547945205479,-95,-95,-99.0,-93.93846153846154,-95,-95,-96.23529411764706,-83.2280701754386,-95,-83.51351351351352
"152,61",-94.175,-89.10526315789474,-97.0,-95,-95,-81.35593220338983,-95,-95,-96.2,-95.69565217391305,-95,-95,-95.08695652173913,-80.17796610169492,-95,-86.03947368421052
"144,66",-98.0,-83.72277227722772,-95,-95,-95,-80.93076923076923,-95,-95,-93.88235294117646,-89.57142857142857,-95,-95,-95.25806451612904,-79.86363636363636,-95,-82.7741935483871
"134,76",-95.8,-81.67777777777778,-101.0,-95,-95,-78.91379310344827,-95,-95,-93.86111111111111,-92.88571428571429,-95,-95,-92.48571428571428,-79.43103448275862,-95,-78.97744360902256
"134,60",-95.26666666666668,-88.45882352941176,-93.91666666666669,-95,-95,-79.82352941176471,-95,-95,-97.0625,-94.35,-95,-95,-95.93548387096774,-78.07638888888889,-95,-81.65811965811966
"152,52",-97.05555555555556,-91.87234042553192,-98.07142857142856,-95,-97.5,-83.65957446808511,-95,-95,-96.8,-95.28571428571428,-95,-95,-94.91666666666669,-79.53896103896103,-95,-88.17142857142858
"134,52",-96.4,-87.66055045871559,-96.475,-95,-95,-79.36111111111111,-95,-95,-94.6875,-94.04615384615384,-95,-95,-94.82352941176472,-78.296875,-95,-79.81944444444444
"119,80",-72.9261744966443,-96.61904761904762,-96.15789473684212,-95,-86.79338842975207,-95.17391304347828,-94.12244897959184,-95.16216216216216,-95,-96.0,-95,-94.71428571428572,-95,-90.44262295081968,-96.3076923076923,-81.3051948051948
