rssi_mean,rssi_std,location
-74.05555555555556,3.554687394010309,"181, 121"
-75.42948717948718,2.670139196139166,"134,99"
-83.09174311926606,3.856464332133964,"144,84"
-88.4639175257732,3.9352015776978346,"152,76"
-89.10526315789474,3.750715536535806,"152,61"
-83.72277227722772,3.473004268801384,"144,66"
-81.67777777777778,3.1581562053330976,"134,76"
-88.45882352941176,4.312916145108838,"134,60"
-91.87234042553192,3.708053462378224,"152,52"
-87.66055045871559,3.790911835038095,"134,52"
-96.61904761904762,1.7855555485002543,"119,80"
-72.36945812807882,5.040374253245364,"184, 03"
-94.63636363636364,2.403509830254961,"116,62"
-98.11111111111111,2.182986967154278,"116,53"
-77.6,4.844835645554184,"181, 93"
-96.0,0.0,"102,80"
-74.07594936708861,4.805777514245083,"171, 110"
-72.59354838709677,4.984746765099991,"168, 118"
-76.52258064516128,4.42476240859649,"153, 121"
-69.16931216931216,3.61696620117384,"165,97"
-68.72774869109948,4.887125372654975,"154, 106"
-76.98561151079137,3.630378642302509,"152,92"
