rssi_mean,rssi_std,location
-65.73094170403587,3.988692820165767,"181, 121"
-94.47222222222223,2.6192249819694453,"134,99"
-92.23913043478261,3.2112897490808865,"144,84"
-99.0,0.0,"152,76"
-96.2,3.0594117081556713,"152,61"
-93.88235294117646,2.0546175525379975,"144,66"
-93.86111111111111,2.451221665684478,"134,76"
-97.0625,1.818954026356906,"134,60"
-96.8,3.1240998703626617,"152,52"
-94.6875,1.8614090764794289,"134,52"
-77.664,5.969179508106621,"184, 03"
-81.55080213903743,4.840928105030097,"181, 93"
-79.24705882352941,5.041955461811691,"171, 110"
-77.97142857142858,4.6185075776594715,"168, 118"
-77.8804347826087,4.888634537071782,"153, 121"
-80.87368421052632,4.064589330620351,"165,97"
-78.28795811518324,5.8797559801134796,"154, 106"
-92.66666666666667,3.5179636689523064,"152,92"
