location,rssi_mean,rssi_std
"1,1",-135.02,37.76
"2,1",-134.9,37.58
"3,1",-134.77,37.4
"4,1",-134.65,37.23
"5,1",-134.52,37.07
"6,1",-134.4,36.9
"7,1",-134.27,36.74
"8,1",-134.15,36.59
"9,1",-134.02,36.44
"10,1",-133.89,36.29
"11,1",-133.77,36.15
"12,1",-133.64,36.01
"13,1",-133.52,35.88
"14,1",-133.4,35.75
"15,1",-133.27,35.62
"16,1",-133.15,35.5
"17,1",-133.03,35.38
"18,1",-132.91,35.27
"19,1",-132.8,35.16
"20,1",-132.68,35.06
"21,1",-132.57,34.96
"22,1",-132.46,34.87
"23,1",-132.35,34.78
"24,1",-132.24,34.69
"25,1",-132.14,34.61
"26,1",-132.03,34.54
"27,1",-131.94,34.46
"28,1",-131.84,34.4
"29,1",-131.75,34.33
"30,1",-131.66,34.28
"31,1",-131.57,34.22
"32,1",-131.48,34.17
"33,1",-131.4,34.13
"34,1",-131.33,34.09
"35,1",-131.25,34.05
"36,1",-131.18,34.02
"37,1",-131.12,33.99
"38,1",-131.06,33.96
"39,1",-131.0,33.94
"40,1",-130.94,33.93
"41,1",-130.89,33.92
"42,1",-130.85,33.91
"43,1",-130.81,33.9
"44,1",-130.77,33.9
"45,1",-130.73,33.9
"46,1",-130.7,33.91
"47,1",-130.68,33.92
"48,1",-130.66,33.93
"49,1",-130.64,33.95
"50,1",-130.63,33.97
"51,1",-130.62,33.99
"52,1",-130.62,34.02
"53,1",-130.62,34.05
"54,1",-130.62,34.08
"55,1",-130.63,34.12
"56,1",-130.65,34.16
"57,1",-130.66,34.2
"58,1",-130.69,34.24
"59,1",-130.71,34.29
"60,1",-130.74,34.33
"61,1",-130.78,34.39
"62,1",-130.81,34.44
"63,1",-130.86,34.5
"64,1",-130.9,34.55
"65,1",-130.95,34.61
"66,1",-131.0,34.68
"67,1",-131.06,34.74
"68,1",-131.12,34.81
"69,1",-131.19,34.88
"70,1",-131.25,34.95
"71,1",-131.32,35.02
"72,1",-131.4,35.09
"73,1",-131.47,35.17
"74,1",-131.55,35.25
"75,1",-131.64,35.32
"76,1",-131.72,35.41
"77,1",-131.81,35.49
"78,1",-131.9,35.57
"79,1",-131.99,35.66
"80,1",-132.08,35.74
"81,1",-132.18,35.83
"82,1",-132.28,35.92
"83,1",-132.38,36.01
"84,1",-132.48,36.1
"85,1",-132.58,36.2
"86,1",-132.69,36.29
"87,1",-132.79,36.39
"88,1",-132.9,36.49
"89,1",-133.0,36.59
"90,1",-133.11,36.69
"91,1",-133.22,36.79
"92,1",-133.33,36.89
"93,1",-133.43,37.0
"94,1",-133.54,37.1
"95,1",-133.65,37.21
"96,1",-133.76,37.31
"97,1",-133.87,37.42
"98,1",-133.97,37.53
"99,1",-134.08,37.64
"100,1",-134.18,37.76
"101,1",-134.29,37.87
"102,1",-134.39,37.98
"103,1",-134.49,38.1
"104,1",-134.59,38.22
"105,1",-134.68,38.34
"106,1",-134.78,38.45
"107,1",-134.87,38.58
"108,1",-134.96,38.7
"109,1",-135.05,38.82
"110,1",-135.14,38.94
"111,1",-135.22,39.07
"112,1",-135.3,39.2
"113,1",-135.38,39.32
"114,1",-135.45,39.45
"115,1",-135.52,39.58
"116,1",-135.59,39.72
"117,1",-135.65,39.85
"118,1",-135.71,39.98
"119,1",-135.77,40.12
"120,1",-135.82,40.25
"121,1",-135.87,40.39
"122,1",-135.91,40.53
"123,1",-135.95,40.67
"124,1",-135.98,40.81
"125,1",-136.02,40.96
"126,1",-136.04,41.1
"127,1",-136.06,41.25
"128,1",-136.08,41.39
"129,1",-136.09,41.54
"130,1",-136.1,41.69
"131,1",-136.1,41.84
"132,1",-136.1,41.99
"133,1",-136.09,42.15
"134,1",-136.07,42.3
"135,1",-136.05,42.46
"136,1",-136.03,42.62
"137,1",-136.0,42.77
"138,1",-135.97,42.93
"139,1",-135.92,43.1
"140,1",-135.88,43.26
"141,1",-135.83,43.42
"142,1",-135.77,43.59
"143,1",-135.71,43.75
"144,1",-135.64,43.92
"145,1",-135.56,44.09
"146,1",-135.49,44.26
"147,1",-135.4,44.43
"148,1",-135.31,44.61
"149,1",-135.21,44.78
"150,1",-135.11,44.96
"151,1",-135.0,45.13
"152,1",-134.89,45.31
"153,1",-134.77,45.49
"154,1",-134.65,45.67
"155,1",-134.52,45.85
"156,1",-134.38,46.03
"157,1",-134.24,46.22
"158,1",-134.1,46.4
"159,1",-133.94,46.59
"160,1",-133.79,46.78
"161,1",-133.63,46.96
"162,1",-133.46,47.15
"163,1",-133.29,47.34
"164,1",-133.11,47.54
"165,1",-132.93,47.73
"166,1",-132.74,47.92
"167,1",-132.55,48.12
