location,rssi_mean,rssi_std
"1,1",-91.72,9.34
"2,1",-91.72,9.34
"3,1",-91.72,9.34
"4,1",-91.72,9.34
"5,1",-91.72,9.34
"6,1",-91.72,9.34
"7,1",-91.72,9.34
"8,1",-91.72,9.34
"9,1",-91.72,9.34
"10,1",-91.72,9.34
"11,1",-91.72,9.34
"12,1",-91.72,9.34
"13,1",-91.72,9.34
"14,1",-91.72,9.34
"15,1",-91.72,9.34
"16,1",-91.72,9.34
"17,1",-91.72,9.34
"18,1",-91.72,9.34
"19,1",-91.72,9.34
"20,1",-91.72,9.34
"21,1",-91.72,9.34
"22,1",-91.72,9.34
"23,1",-91.72,9.34
"24,1",-91.72,9.34
"25,1",-91.72,9.34
"26,1",-91.72,9.34
"27,1",-91.72,9.34
"28,1",-91.73,9.34
"29,1",-91.73,9.34
"30,1",-91.73,9.34
"31,1",-91.73,9.34
"32,1",-91.73,9.34
"33,1",-91.73,9.34
"34,1",-91.73,9.34
"35,1",-91.73,9.34
"36,1",-91.73,9.34
"37,1",-91.73,9.34
"38,1",-91.73,9.34
"39,1",-91.73,9.34
"40,1",-91.73,9.34
"41,1",-91.73,9.34
"42,1",-91.73,9.34
"43,1",-91.73,9.34
"44,1",-91.73,9.34
"45,1",-91.73,9.34
"46,1",-91.73,9.34
"47,1",-91.73,9.34
"48,1",-91.73,9.34
"49,1",-91.73,9.34
"50,1",-91.73,9.34
"51,1",-91.73,9.34
"52,1",-91.73,9.34
"53,1",-91.73,9.34
"54,1",-91.73,9.34
"55,1",-91.73,9.34
"56,1",-91.73,9.34
"57,1",-91.73,9.34
"58,1",-91.73,9.34
"59,1",-91.72,9.34
"60,1",-91.72,9.34
"61,1",-91.72,9.34
"62,1",-91.72,9.34
"63,1",-91.72,9.34
"64,1",-91.72,9.34
"65,1",-91.72,9.34
"66,1",-91.72,9.34
"67,1",-91.72,9.34
"68,1",-91.72,9.34
"69,1",-91.72,9.34
"70,1",-91.72,9.34
"71,1",-91.72,9.34
"72,1",-91.72,9.34
"73,1",-91.72,9.34
"74,1",-91.72,9.34
"75,1",-91.72,9.34
"76,1",-91.72,9.34
"77,1",-91.72,9.34
"78,1",-91.72,9.34
"79,1",-91.72,9.34
"80,1",-91.72,9.34
"81,1",-91.72,9.34
"82,1",-91.72,9.34
"83,1",-91.72,9.34
"84,1",-91.72,9.34
"85,1",-91.72,9.34
"86,1",-91.72,9.34
"87,1",-91.72,9.34
"88,1",-91.72,9.34
"89,1",-91.72,9.34
"90,1",-91.72,9.34
"91,1",-91.72,9.34
"92,1",-91.72,9.34
