rssi_mean,rssi_std,location
-98.28571428571429,1.979486637221574,"181, 121"
-84.27966101694915,3.725508936272067,"134,99"
-85.624,3.194154661252332,"144,84"
-74.70547945205479,2.6096969020962297,"152,76"
-81.35593220338983,4.334578007589458,"152,61"
-80.93076923076923,4.053846153846154,"144,66"
-78.91379310344827,3.7910260769103794,"134,76"
-79.82352941176471,3.595099509669943,"134,60"
-83.65957446808511,5.498974484965218,"152,52"
-79.36111111111111,4.225601717689826,"134,52"
-95.17391304347827,3.01665195803507,"119,80"
-97.6,0.9165151389911681,"184, 03"
-94.16666666666667,3.5551215012835904,"116,62"
-96.0,1.0,"116,53"
-98.0,1.4142135623730951,"110,45"
-98.33333333333333,0.4714045207910317,"181, 93"
-97.5,1.5,"171, 110"
-96.28571428571429,1.749635530559413,"168, 118"
-97.22222222222223,1.227262335243029,"153, 121"
-94.27027027027027,2.0354778793257005,"165,97"
-96.9090909090909,1.7814470856604931,"154, 106"
-86.45283018867924,3.571723529497225,"152,92"
