location,rssi_mean,rssi_std
"1,1",-89.69,15.35
"2,1",-89.74,15.31
"3,1",-89.8,15.27
"4,1",-89.85,15.23
"5,1",-89.91,15.19
"6,1",-89.97,15.15
"7,1",-90.02,15.11
"8,1",-90.08,15.07
"9,1",-90.14,15.03
"10,1",-90.2,14.99
"11,1",-90.26,14.95
"12,1",-90.33,14.91
"13,1",-90.39,14.88
"14,1",-90.45,14.84
"15,1",-90.52,14.8
"16,1",-90.58,14.76
"17,1",-90.65,14.73
"18,1",-90.71,14.69
"19,1",-90.78,14.65
"20,1",-90.84,14.62
"21,1",-90.91,14.58
"22,1",-90.98,14.55
"23,1",-91.05,14.51
"24,1",-91.12,14.48
"25,1",-91.19,14.44
"26,1",-91.26,14.41
"27,1",-91.33,14.38
"28,1",-91.4,14.35
"29,1",-91.47,14.31
"30,1",-91.54,14.28
"31,1",-91.61,14.25
"32,1",-91.69,14.22
"33,1",-91.76,14.19
"34,1",-91.83,14.16
"35,1",-91.9,14.13
"36,1",-91.98,14.1
"37,1",-92.05,14.07
"38,1",-92.13,14.04
"39,1",-92.2,14.01
"40,1",-92.28,13.98
"41,1",-92.35,13.95
"42,1",-92.43,13.92
"43,1",-92.5,13.89
"44,1",-92.58,13.86
"45,1",-92.65,13.83
"46,1",-92.73,13.8
"47,1",-92.8,13.77
"48,1",-92.88,13.74
"49,1",-92.95,13.71
"50,1",-93.03,13.68
"51,1",-93.11,13.64
"52,1",-93.18,13.61
"53,1",-93.26,13.58
"54,1",-93.33,13.55
"55,1",-93.4,13.52
"56,1",-93.48,13.48
"57,1",-93.55,13.45
"58,1",-93.63,13.42
"59,1",-93.7,13.39
"60,1",-93.77,13.36
"61,1",-93.84,13.32
"62,1",-93.91,13.29
"63,1",-93.98,13.26
"64,1",-94.05,13.23
"65,1",-94.11,13.21
"66,1",-94.18,13.18
"67,1",-94.24,13.15
"68,1",-94.3,13.13
"69,1",-94.36,13.1
"70,1",-94.42,13.08
"71,1",-94.48,13.07
"72,1",-94.53,13.05
"73,1",-94.58,13.04
"74,1",-94.63,13.02
"75,1",-94.68,13.02
"76,1",-94.72,13.01
"77,1",-94.77,13.01
"78,1",-94.8,13.01
"79,1",-94.84,13.02
"80,1",-94.87,13.03
"81,1",-94.9,13.04
"82,1",-94.93,13.06
"83,1",-94.96,13.08
"84,1",-94.98,13.1
"85,1",-95.0,13.13
"86,1",-95.01,13.16
"87,1",-95.03,13.2
"88,1",-95.04,13.23
"89,1",-95.05,13.27
"90,1",-95.05,13.32
"91,1",-95.05,13.36
"92,1",-95.06,13.41
"93,1",-95.05,13.46
"94,1",-95.05,13.51
"95,1",-95.04,13.57
"96,1",-95.03,13.62
"97,1",-95.02,13.68
"98,1",-95.01,13.73
"99,1",-95.0,13.79
"100,1",-94.98,13.85
"101,1",-94.96,13.91
"102,1",-94.94,13.97
"103,1",-94.92,14.03
"104,1",-94.9,14.09
"105,1",-94.88,14.15
"106,1",-94.85,14.22
"107,1",-94.83,14.28
"108,1",-94.8,14.34
"109,1",-94.77,14.4
"110,1",-94.74,14.46
"111,1",-94.71,14.52
"112,1",-94.68,14.58
"113,1",-94.65,14.64
"114,1",-94.62,14.7
"115,1",-94.59,14.76
"116,1",-94.55,14.81
"117,1",-94.52,14.87
"118,1",-94.49,14.93
"119,1",-94.45,14.99
"120,1",-94.41,15.04
"121,1",-94.38,15.1
"122,1",-94.34,15.15
"123,1",-94.31,15.21
"124,1",-94.27,15.26
"125,1",-94.23,15.31
"126,1",-94.2,15.37
"127,1",-94.16,15.42
"128,1",-94.12,15.47
"129,1",-94.08,15.52
"130,1",-94.05,15.57
"131,1",-94.01,15.62
"132,1",-93.97,15.67
"133,1",-93.93,15.72
"134,1",-93.9,15.77
"135,1",-93.86,15.82
"136,1",-93.82,15.87
"137,1",-93.78,15.92
"138,1",-93.75,15.96
"139,1",-93.71,16.01
"140,1",-93.67,16.06
"141,1",-93.64,16.1
"142,1",-93.6,16.15
"143,1",-93.56,16.19
"144,1",-93.53,16.24
"145,1",-93.49,16.28
"146,1",-93.45,16.32
"147,1",-93.42,16.37
"148,1",-93.38,16.41
"149,1",-93.35,16.45
"150,1",-93.31,16.5
"151,1",-93.28,16.54
"152,1",-93.24,16.58
"153,1",-93.21,16.62
"154,1",-93.17,16.66
"155,1",-93.14,16.7
"156,1",-93.1,16.74
"157,1",-93.07,16.78
"158,1",-93.04,16.82
"159,1",-93.0,16.86
"160,1",-92.97,16.9
"161,1",-92.94,16.94
"162,1",-92.91,16.97
"163,1",-92.87,17.01
"164,1",-92.84,17.05
"165,1",-92.81,17.09
"166,1",-92.78,17.12
"167,1",-92.75,17.16
"168,1",-92.72,17.2
"169,1",-92.69,17.23
"170,1",-92.66,17.27
"171,1",-92.63,17.3
"172,1",-92.6,17.34
"173,1",-92.57,17.37
"174,1",-92.54,17.41
"175,1",-92.51,17.44
"176,1",-92.48,17.48
"177,1",-92.45,17.51
"178,1",-92.43,17.55
"179,1",-92.4,17.58
"180,1",-92.37,17.61
"181,1",-92.34,17.64
"182,1",-92.32,17.68
"183,1",-92.29,17.71
"184,1",-92.26,17.74
"185,1",-92.24,17.77
"186,1",-92.21,17.81
"187,1",-92.19,17.84
"188,1",-92.16,17.87
"1,2",-89.67,15.3
"2,2",-89.72,15.25
"3,2",-89.78,15.21
"4,2",-89.83,15.17
"5,2",-89.89,15.13
"6,2",-89.95,15.09
"7,2",-90.01,15.05
"8,2",-90.07,15.01
"9,2",-90.13,14.97
"10,2",-90.19,14.93
"11,2",-90.25,14.89
"12,2",-90.31,14.85
"13,2",-90.38,14.81
"14,2",-90.44,14.77
"15,2",-90.51,14.73
"16,2",-90.57,14.69
"17,2",-90.64,14.65
"18,2",-90.7,14.62
"19,2",-90.77,14.58
"20,2",-90.84,14.54
"21,2",-90.91,14.51
"22,2",-90.98,14.47
"23,2",-91.05,14.44
"24,2",-91.12,14.4
"25,2",-91.19,14.37
"26,2",-91.26,14.33
"27,2",-91.33,14.3
"28,2",-91.4,14.27
"29,2",-91.48,14.23
"30,2",-91.55,14.2
"31,2",-91.62,14.17
"32,2",-91.7,14.14
"33,2",-91.77,14.11
"34,2",-91.84,14.08
"35,2",-91.92,14.04
"36,2",-91.99,14.01
"37,2",-92.07,13.98
"38,2",-92.14,13.95
"39,2",-92.22,13.92
"40,2",-92.3,13.89
"41,2",-92.37,13.86
"42,2",-92.45,13.83
"43,2",-92.53,13.8
"44,2",-92.6,13.77
"45,2",-92.68,13.74
"46,2",-92.76,13.71
"47,2",-92.83,13.68
"48,2",-92.91,13.64
"49,2",-92.99,13.61
"50,2",-93.07,13.58
"51,2",-93.14,13.55
"52,2",-93.22,13.51
"53,2",-93.3,13.48
"54,2",-93.37,13.45
"55,2",-93.45,13.41
"56,2",-93.53,13.38
"57,2",-93.6,13.35
"58,2",-93.68,13.31
"59,2",-93.75,13.28
"60,2",-93.83,13.24
"61,2",-93.9,13.21
"62,2",-93.97,13.18
"63,2",-94.04,13.14
"64,2",-94.11,13.11
"65,2",-94.18,13.08
"66,2",-94.25,13.05
"67,2",-94.31,13.02
"68,2",-94.38,13.0
"69,2",-94.44,12.97
"70,2",-94.5,12.95
"71,2",-94.56,12.93
"72,2",-94.61,12.91
"73,2",-94.67,12.89
"74,2",-94.72,12.88
"75,2",-94.77,12.87
"76,2",-94.81,12.87
"77,2",-94.85,12.86
"78,2",-94.89,12.87
"79,2",-94.93,12.87
"80,2",-94.96,12.88
"81,2",-95.0,12.9
"82,2",-95.02,12.91
"83,2",-95.05,12.93
"84,2",-95.07,12.96
"85,2",-95.09,12.99
"86,2",-95.11,13.02
"87,2",-95.12,13.06
"88,2",-95.13,13.1
"89,2",-95.14,13.14
"90,2",-95.14,13.18
"91,2",-95.14,13.23
"92,2",-95.14,13.28
"93,2",-95.14,13.34
"94,2",-95.14,13.39
"95,2",-95.13,13.45
"96,2",-95.12,13.51
"97,2",-95.11,13.57
"98,2",-95.09,13.63
"99,2",-95.08,13.69
"100,2",-95.06,13.75
"101,2",-95.04,13.81
"102,2",-95.02,13.88
"103,2",-95.0,13.94
"104,2",-94.98,14.0
"105,2",-94.95,14.07
"106,2",-94.92,14.13
"107,2",-94.9,14.19
"108,2",-94.87,14.26
"109,2",-94.84,14.32
"110,2",-94.81,14.38
"111,2",-94.78,14.45
"112,2",-94.75,14.51
"113,2",-94.71,14.57
"114,2",-94.68,14.63
"115,2",-94.65,14.69
"116,2",-94.61,14.75
"117,2",-94.58,14.81
"118,2",-94.54,14.87
"119,2",-94.5,14.93
"120,2",-94.47,14.98
"121,2",-94.43,15.04
"122,2",-94.39,15.1
"123,2",-94.36,15.15
"124,2",-94.32,15.21
"125,2",-94.28,15.26
"126,2",-94.24,15.32
"127,2",-94.2,15.37
"128,2",-94.16,15.42
"129,2",-94.13,15.48
"130,2",-94.09,15.53
"131,2",-94.05,15.58
"132,2",-94.01,15.63
"133,2",-93.97,15.68
"134,2",-93.93,15.73
"135,2",-93.89,15.78
"136,2",-93.86,15.83
"137,2",-93.82,15.88
"138,2",-93.78,15.92
"139,2",-93.74,15.97
"140,2",-93.7,16.02
"141,2",-93.67,16.07
"142,2",-93.63,16.11
"143,2",-93.59,16.16
"144,2",-93.55,16.2
"145,2",-93.52,16.25
"146,2",-93.48,16.29
"147,2",-93.44,16.33
"148,2",-93.41,16.38
"149,2",-93.37,16.42
"150,2",-93.33,16.46
"151,2",-93.3,16.51
"152,2",-93.26,16.55
"153,2",-93.23,16.59
"154,2",-93.19,16.63
"155,2",-93.16,16.67
"156,2",-93.12,16.71
"157,2",-93.09,16.75
"158,2",-93.06,16.79
"159,2",-93.02,16.83
"160,2",-92.99,16.87
"161,2",-92.96,16.91
"162,2",-92.92,16.95
"163,2",-92.89,16.99
"164,2",-92.86,17.03
"165,2",-92.83,17.06
"166,2",-92.79,17.1
"167,2",-92.76,17.14
"168,2",-92.73,17.17
"169,2",-92.7,17.21
"170,2",-92.67,17.25
"171,2",-92.64,17.28
"172,2",-92.61,17.32
"173,2",-92.58,17.35
"174,2",-92.55,17.39
"175,2",-92.52,17.42
"176,2",-92.49,17.46
"177,2",-92.46,17.49
"178,2",-92.44,17.53
"179,2",-92.41,17.56
"180,2",-92.38,17.59
"181,2",-92.35,17.63
"182,2",-92.33,17.66
"183,2",-92.3,17.69
"184,2",-92.27,17.72
"185,2",-92.25,17.76
"186,2",-92.22,17.79
"187,2",-92.19,17.82
"188,2",-92.17,17.85
"1,3",-89.64,15.24
"2,3",-89.7,15.2
"3,3",-89.76,15.15
"4,3",-89.81,15.11
"5,3",-89.87,15.07
"6,3",-89.93,15.02
"7,3",-89.99,14.98
"8,3",-90.05,14.94
"9,3",-90.11,14.9
"10,3",-90.17,14.86
"11,3",-90.24,14.82
"12,3",-90.3,14.78
"13,3",-90.36,14.74
"14,3",-90.43,14.7
"15,3",-90.5,14.66
"16,3",-90.56,14.62
"17,3",-90.63,14.58
"18,3",-90.7,14.54
"19,3",-90.77,14.5
"20,3",-90.84,14.47
"21,3",-90.91,14.43
"22,3",-90.98,14.39
"23,3",-91.05,14.36
"24,3",-91.12,14.32
"25,3",-91.19,14.29
"26,3",-91.26,14.25
"27,3",-91.33,14.22
"28,3",-91.41,14.18
"29,3",-91.48,14.15
"30,3",-91.56,14.12
"31,3",-91.63,14.09
"32,3",-91.71,14.05
"33,3",-91.78,14.02
"34,3",-91.86,13.99
"35,3",-91.93,13.96
"36,3",-92.01,13.93
"37,3",-92.08,13.9
"38,3",-92.16,13.87
"39,3",-92.24,13.83
"40,3",-92.32,13.8
"41,3",-92.39,13.77
"42,3",-92.47,13.74
"43,3",-92.55,13.71
"44,3",-92.63,13.68
"45,3",-92.71,13.65
"46,3",-92.79,13.61
"47,3",-92.87,13.58
"48,3",-92.94,13.55
"49,3",-93.02,13.52
"50,3",-93.1,13.48
"51,3",-93.18,13.45
"52,3",-93.26,13.42
"53,3",-93.34,13.38
"54,3",-93.42,13.35
"55,3",-93.5,13.31
"56,3",-93.58,13.27
"57,3",-93.65,13.24
"58,3",-93.73,13.2
"59,3",-93.81,13.17
"60,3",-93.88,13.13
"61,3",-93.96,13.09
"62,3",-94.03,13.06
"63,3",-94.11,13.02
"64,3",-94.18,12.99
"65,3",-94.25,12.95
"66,3",-94.32,12.92
"67,3",-94.39,12.89
"68,3",-94.45,12.86
"69,3",-94.52,12.83
"70,3",-94.58,12.81
"71,3",-94.64,12.78
"72,3",-94.7,12.76
"73,3",-94.75,12.75
"74,3",-94.8,12.73
"75,3",-94.85,12.72
"76,3",-94.9,12.72
"77,3",-94.94,12.71
"78,3",-94.99,12.71
"79,3",-95.02,12.72
"80,3",-95.06,12.73
"81,3",-95.09,12.74
"82,3",-95.12,12.76
"83,3",-95.14,12.78
"84,3",-95.17,12.81
"85,3",-95.19,12.84
"86,3",-95.2,12.87
"87,3",-95.21,12.91
"88,3",-95.22,12.95
"89,3",-95.23,13.0
"90,3",-95.24,13.05
"91,3",-95.24,13.1
"92,3",-95.24,13.15
"93,3",-95.23,13.21
"94,3",-95.23,13.27
"95,3",-95.22,13.33
"96,3",-95.21,13.39
"97,3",-95.19,13.45
"98,3",-95.18,13.51
"99,3",-95.16,13.58
"100,3",-95.14,13.65
"101,3",-95.12,13.71
"102,3",-95.1,13.78
"103,3",-95.08,13.84
"104,3",-95.05,13.91
"105,3",-95.02,13.98
"106,3",-95.0,14.04
"107,3",-94.97,14.11
"108,3",-94.94,14.18
"109,3",-94.91,14.24
"110,3",-94.88,14.31
"111,3",-94.84,14.37
"112,3",-94.81,14.44
"113,3",-94.78,14.5
"114,3",-94.74,14.56
"115,3",-94.71,14.62
"116,3",-94.67,14.69
"117,3",-94.63,14.75
"118,3",-94.6,14.81
"119,3",-94.56,14.87
"120,3",-94.52,14.93
"121,3",-94.48,14.98
"122,3",-94.44,15.04
"123,3",-94.4,15.1
"124,3",-94.37,15.16
"125,3",-94.33,15.21
"126,3",-94.29,15.27
"127,3",-94.25,15.32
"128,3",-94.21,15.38
"129,3",-94.17,15.43
"130,3",-94.13,15.48
"131,3",-94.09,15.53
"132,3",-94.05,15.59
"133,3",-94.01,15.64
"134,3",-93.97,15.69
"135,3",-93.93,15.74
"136,3",-93.89,15.79
"137,3",-93.85,15.84
"138,3",-93.81,15.89
"139,3",-93.77,15.93
"140,3",-93.73,15.98
"141,3",-93.7,16.03
"142,3",-93.66,16.08
"143,3",-93.62,16.12
"144,3",-93.58,16.17
"145,3",-93.54,16.21
"146,3",-93.51,16.26
"147,3",-93.47,16.3
"148,3",-93.43,16.35
"149,3",-93.39,16.39
"150,3",-93.36,16.43
"151,3",-93.32,16.48
"152,3",-93.28,16.52
"153,3",-93.25,16.56
"154,3",-93.21,16.6
"155,3",-93.18,16.64
"156,3",-93.14,16.68
"157,3",-93.11,16.73
"158,3",-93.07,16.77
"159,3",-93.04,16.81
