location,rssi_mean,rssi_std
"1,1",-91.53,9.89
"2,1",-91.31,10.5
"3,1",-88.68,9.6
"4,1",-89.68,10.16
"5,1",-88.41,9.97
"6,1",-89.88,9.97
"7,1",-89.4,10.06
"8,1",-92.75,10.12
"9,1",-91.54,10.12
"10,1",-89.3,9.43
"11,1",-89.49,10.16
"12,1",-92.4,9.98
"13,1",-86.69,9.85
"14,1",-85.75,8.93
"15,1",-93.01,9.08
"16,1",-87.29,10.34
"17,1",-89.16,10.02
"18,1",-89.69,8.43
"19,1",-84.95,9.73
"20,1",-90.62,8.65
"21,1",-87.8,9.85
"22,1",-85.46,9.77
"23,1",-94.87,8.65
"24,1",-94.59,9.75
"25,1",-92.6,10.15
"26,1",-91.85,9.65
"27,1",-91.18,9.62
"28,1",-90.78,9.67
"29,1",-88.46,9.87
"30,1",-87.45,9.88
"31,1",-91.68,9.34
"32,1",-95.76,7.17
"33,1",-93.21,8.49
"34,1",-86.71,10.09
"35,1",-87.32,10.02
"36,1",-94.48,8.57
"37,1",-95.67,7.96
"38,1",-93.08,8.97
"39,1",-92.61,9.37
"40,1",-93.3,9.63
"41,1",-92.48,9.43
"42,1",-89.29,9.42
"43,1",-89.45,10.18
"44,1",-86.75,9.97
"45,1",-81.39,9.21
"46,1",-86.35,9.58
"47,1",-90.22,10.26
"48,1",-87.79,9.53
"49,1",-92.63,9.85
"50,1",-90.49,9.69
"51,1",-86.72,9.05
"52,1",-91.88,9.92
"53,1",-92.39,8.42
"54,1",-94.98,8.65
"55,1",-94.21,8.15
"56,1",-94.47,7.7
"57,1",-97.65,8.76
"58,1",-90.21,9.71
"59,1",-88.44,9.74
"60,1",-91.88,9.9
"61,1",-91.49,9.5
"62,1",-88.65,9.97
"63,1",-94.12,9.41
"64,1",-88.48,10.07
"65,1",-87.75,9.94
"66,1",-96.29,8.9
"67,1",-92.37,9.19
"68,1",-89.95,9.16
"69,1",-88.59,9.75
"70,1",-89.26,9.13
"71,1",-96.72,8.53
"72,1",-87.98,10.11
"73,1",-94.48,9.73
"74,1",-90.07,9.61
"75,1",-91.25,10.01
"76,1",-91.74,10.0
"77,1",-92.07,8.3
"78,1",-87.12,10.14
"79,1",-95.25,8.42
"80,1",-91.5,9.84
"81,1",-88.32,9.81
"82,1",-93.5,9.64
"83,1",-91.19,9.73
"84,1",-89.31,9.31
"85,1",-94.72,9.71
"86,1",-90.06,10.34
"87,1",-90.09,10.16
"88,1",-93.96,9.95
"89,1",-91.14,10.01
"90,1",-92.79,8.83
"91,1",-89.46,10.32
"92,1",-94.58,9.83
"93,1",-90.99,9.34
"94,1",-85.97,9.88
"95,1",-97.23,10.21
"96,1",-93.22,10.35
"97,1",-86.2,9.54
"98,1",-95.27,9.25
"99,1",-91.73,10.35
"100,1",-92.85,9.85
"101,1",-91.58,9.8
"102,1",-91.73,9.66
"103,1",-92.06,9.97
"104,1",-94.12,10.0
"105,1",-91.61,9.4
"106,1",-88.63,10.3
"107,1",-95.07,10.5
"108,1",-95.06,10.11
"109,1",-86.39,10.63
"110,1",-93.47,9.18
"111,1",-92.04,9.58
"112,1",-90.52,10.73
"113,1",-94.21,9.97
"114,1",-88.52,10.24
"115,1",-94.79,9.71
"116,1",-94.77,9.39
"117,1",-86.98,10.52
"118,1",-91.73,9.46
"119,1",-94.7,9.52
"120,1",-90.39,10.52
"121,1",-92.51,10.56
"122,1",-93.73,9.56
"123,1",-88.93,10.66
"124,1",-92.21,10.64
"125,1",-94.04,10.36
"126,1",-92.76,10.44
"127,1",-91.24,9.83
"128,1",-90.75,9.97
"129,1",-88.56,10.74
"130,1",-92.32,10.39
"131,1",-96.03,10.43
"132,1",-95.15,10.98
"133,1",-94.59,10.44
"134,1",-86.63,9.74
"135,1",-84.73,10.44
"136,1",-92.15,10.39
"137,1",-97.94,9.55
"138,1",-97.16,10.51
"139,1",-89.01,10.93
"140,1",-88.23,11.2
"141,1",-93.43,10.65
"142,1",-93.38,10.47
"143,1",-91.87,11.03
"144,1",-89.35,11.13
"145,1",-92.68,10.19
"146,1",-94.3,10.32
"147,1",-90.78,10.92
"148,1",-87.87,11.04
"149,1",-93.93,10.89
"150,1",-97.36,8.85
"151,1",-95.38,9.99
"152,1",-88.63,11.28
"153,1",-85.83,10.59
"154,1",-88.03,11.18
"155,1",-94.56,9.95
"156,1",-95.51,10.8
"157,1",-92.87,11.4
"158,1",-92.09,10.94
"159,1",-92.66,11.35
"160,1",-93.86,10.57
"161,1",-92.89,9.54
"162,1",-91.91,10.0
"163,1",-88.86,10.53
"164,1",-86.67,11.07
"165,1",-89.83,11.2
"166,1",-93.11,11.46
"167,1",-94.4,11.26
"168,1",-94.17,11.38
"169,1",-93.17,11.91
"170,1",-93.33,11.61
"171,1",-92.57,11.5
"172,1",-90.92,11.33
"173,1",-90.98,11.21
"174,1",-90.41,11.26
"175,1",-88.62,11.61
"176,1",-89.45,11.59
"177,1",-92.64,11.48
"178,1",-94.95,11.66
"179,1",-95.57,11.74
"180,1",-94.5,11.35
"181,1",-92.3,11.22
"182,1",-90.81,11.28
"183,1",-89.99,11.19
"184,1",-88.29,11.41
"185,1",-86.92,11.89
"186,1",-88.22,11.97
"187,1",-91.3,11.79
"188,1",-93.67,11.95
"1,2",-88.46,10.02
"2,2",-94.59,9.83
"3,2",-86.3,9.97
"4,2",-92.82,9.11
"5,2",-84.62,10.27
"6,2",-92.13,8.21
"7,2",-88.34,10.22
"8,2",-94.26,8.61
"9,2",-89.47,10.13
"10,2",-90.59,8.46
"11,2",-88.98,10.08
"12,2",-92.57,9.58
"13,2",-87.45,10.12
"14,2",-84.53,8.89
"15,2",-92.79,9.21
"16,2",-89.31,10.22
"17,2",-87.01,10.09
