location,rssi_mean,rssi_std
"1,1",-29.57,36.49
"2,1",-29.97,36.27
"3,1",-30.36,36.05
"4,1",-30.76,35.83
"5,1",-31.16,35.61
"6,1",-31.57,35.39
"7,1",-31.97,35.16
"8,1",-32.38,34.94
"9,1",-32.79,34.71
"10,1",-33.2,34.48
"11,1",-33.62,34.25
"12,1",-34.03,34.02
"13,1",-34.45,33.79
"14,1",-34.87,33.56
"15,1",-35.29,33.33
"16,1",-35.71,33.09
"17,1",-36.14,32.86
"18,1",-36.57,32.62
"19,1",-36.99,32.39
"20,1",-37.42,32.15
"21,1",-37.86,31.91
"22,1",-38.29,31.67
"23,1",-38.72,31.43
"24,1",-39.16,31.19
"25,1",-39.6,30.95
"26,1",-40.04,30.71
"27,1",-40.47,30.47
"28,1",-40.92,30.23
"29,1",-41.36,29.99
"30,1",-41.8,29.74
"31,1",-42.24,29.5
"32,1",-42.69,29.26
"33,1",-43.13,29.01
"34,1",-43.58,28.77
"35,1",-44.03,28.53
"36,1",-44.48,28.28
"37,1",-44.92,28.04
"38,1",-45.37,27.79
"39,1",-45.82,27.55
"40,1",-46.27,27.3
"41,1",-46.72,27.06
"42,1",-47.17,26.81
"43,1",-47.62,26.57
"44,1",-48.07,26.32
"45,1",-48.52,26.08
"46,1",-48.97,25.84
"47,1",-49.42,25.59
"48,1",-49.87,25.35
"49,1",-50.32,25.11
"50,1",-50.77,24.87
"51,1",-51.21,24.62
"52,1",-51.66,24.38
"53,1",-52.11,24.14
"54,1",-52.56,23.9
"55,1",-53.0,23.66
"56,1",-53.45,23.43
"57,1",-53.89,23.19
"58,1",-54.33,22.95
"59,1",-54.77,22.71
"60,1",-55.21,22.48
"61,1",-55.65,22.24
"62,1",-56.09,22.01
"63,1",-56.53,21.78
"64,1",-56.96,21.55
"65,1",-57.39,21.32
"66,1",-57.82,21.09
"67,1",-58.25,20.86
"68,1",-58.68,20.63
"69,1",-59.11,20.41
"70,1",-59.53,20.18
"71,1",-59.95,19.96
"72,1",-60.37,19.74
"73,1",-60.79,19.52
"74,1",-61.2,19.3
"75,1",-61.61,19.08
"76,1",-62.02,18.86
"77,1",-62.43,18.65
"78,1",-62.83,18.44
"79,1",-63.24,18.23
"80,1",-63.63,18.02
"81,1",-64.03,17.81
"82,1",-64.42,17.6
"83,1",-64.81,17.4
"84,1",-65.2,17.19
"85,1",-65.58,16.99
"86,1",-65.96,16.79
"87,1",-66.34,16.59
"88,1",-66.71,16.4
"89,1",-67.08,16.2
"90,1",-67.44,16.01
"91,1",-67.8,15.82
"92,1",-68.16,15.63
"93,1",-68.51,15.44
"94,1",-68.86,15.25
"95,1",-69.21,15.07
"96,1",-69.55,14.89
"97,1",-69.89,14.71
"98,1",-70.22,14.53
"99,1",-70.55,14.35
"100,1",-70.87,14.18
"101,1",-71.19,14.0
"102,1",-71.51,13.83
"103,1",-71.82,13.66
"104,1",-72.12,13.49
"105,1",-72.42,13.33
"106,1",-72.72,13.16
"107,1",-73.01,13.0
"108,1",-73.29,12.84
"109,1",-73.57,12.68
"110,1",-73.85,12.52
"111,1",-74.12,12.37
"112,1",-74.39,12.21
"113,1",-74.64,12.06
"114,1",-74.9,11.91
"115,1",-75.15,11.76
"116,1",-75.39,11.61
"117,1",-75.63,11.47
"118,1",-75.86,11.32
"119,1",-76.09,11.18
"120,1",-76.31,11.03
"121,1",-76.52,10.89
"122,1",-76.73,10.75
"123,1",-76.93,10.62
"124,1",-77.13,10.48
"125,1",-77.32,10.34
"126,1",-77.5,10.21
"127,1",-77.68,10.07
"128,1",-77.85,9.94
"129,1",-78.02,9.81
"130,1",-78.18,9.68
"131,1",-78.34,9.55
"132,1",-78.48,9.42
"133,1",-78.62,9.29
"134,1",-78.76,9.17
"135,1",-78.89,9.04
"136,1",-79.01,8.91
"137,1",-79.12,8.79
"138,1",-79.23,8.67
"139,1",-79.34,8.54
"140,1",-79.43,8.42
"141,1",-79.52,8.3
"142,1",-79.6,8.18
"143,1",-79.68,8.06
"144,1",-79.75,7.94
"145,1",-79.81,7.82
"146,1",-79.87,7.7
"147,1",-79.92,7.58
"148,1",-79.96,7.46
"149,1",-80.0,7.35
"150,1",-80.03,7.23
"151,1",-80.05,7.12
"152,1",-80.06,7.0
"153,1",-80.07,6.89
