location,rssi_mean,rssi_std
"1,1",-81.56,14.96
"2,1",-81.57,14.94
"3,1",-81.59,14.91
"4,1",-81.61,14.89
"5,1",-81.63,14.86
"6,1",-81.64,14.84
"7,1",-81.66,14.81
"8,1",-81.68,14.79
"9,1",-81.69,14.76
"10,1",-81.71,14.74
"11,1",-81.73,14.71
"12,1",-81.75,14.68
"13,1",-81.77,14.66
"14,1",-81.79,14.63
"15,1",-81.8,14.61
"16,1",-81.82,14.58
"17,1",-81.84,14.55
"18,1",-81.86,14.52
"19,1",-81.88,14.5
"20,1",-81.9,14.47
"21,1",-81.92,14.44
"22,1",-81.94,14.41
"23,1",-81.96,14.39
"24,1",-81.98,14.36
"25,1",-82.0,14.33
"26,1",-82.02,14.3
"27,1",-82.04,14.27
"28,1",-82.06,14.24
"29,1",-82.08,14.21
"30,1",-82.1,14.18
"31,1",-82.12,14.15
"32,1",-82.14,14.12
"33,1",-82.16,14.09
"34,1",-82.18,14.06
"35,1",-82.2,14.03
"36,1",-82.22,14.0
"37,1",-82.24,13.97
"38,1",-82.26,13.94
"39,1",-82.29,13.91
"40,1",-82.31,13.87
"41,1",-82.33,13.84
"42,1",-82.35,13.81
"43,1",-82.37,13.78
"44,1",-82.39,13.74
"45,1",-82.42,13.71
"46,1",-82.44,13.68
"47,1",-82.46,13.64
"48,1",-82.48,13.61
"49,1",-82.51,13.58
"50,1",-82.53,13.54
"51,1",-82.55,13.51
"52,1",-82.57,13.47
"53,1",-82.6,13.43
"54,1",-82.62,13.4
"55,1",-82.64,13.36
"56,1",-82.66,13.33
"57,1",-82.69,13.29
"58,1",-82.71,13.25
"59,1",-82.73,13.21
"60,1",-82.76,13.18
"61,1",-82.78,13.14
"62,1",-82.8,13.1
"63,1",-82.83,13.06
"64,1",-82.85,13.02
"65,1",-82.87,12.98
"66,1",-82.9,12.94
"67,1",-82.92,12.9
"68,1",-82.94,12.86
"69,1",-82.97,12.82
"70,1",-82.99,12.78
"71,1",-83.01,12.74
"72,1",-83.04,12.7
"73,1",-83.06,12.66
"74,1",-83.08,12.61
"75,1",-83.1,12.57
"76,1",-83.12,12.53
"77,1",-83.15,12.48
"78,1",-83.17,12.44
"79,1",-83.19,12.39
"80,1",-83.21,12.35
"81,1",-83.23,12.3
"82,1",-83.25,12.26
"83,1",-83.27,12.21
