location,rssi_mean,rssi_std
"1,1",-82.35,11.33
"2,1",-82.35,11.33
"3,1",-82.35,11.33
"4,1",-82.35,11.33
"5,1",-82.35,11.33
"6,1",-82.35,11.33
"7,1",-82.35,11.33
"8,1",-82.35,11.33
"9,1",-82.35,11.33
"10,1",-82.35,11.33
"11,1",-82.35,11.33
"12,1",-82.35,11.33
"13,1",-82.35,11.33
"14,1",-82.35,11.33
"15,1",-82.35,11.33
"16,1",-82.35,11.33
"17,1",-82.35,11.33
"18,1",-82.35,11.33
"19,1",-82.35,11.33
"20,1",-82.35,11.33
"21,1",-82.35,11.33
"22,1",-82.35,11.33
"23,1",-82.35,11.33
"24,1",-82.35,11.33
"25,1",-82.35,11.33
"26,1",-82.35,11.33
"27,1",-82.35,11.33
"28,1",-82.35,11.33
"29,1",-82.35,11.33
"30,1",-82.35,11.33
"31,1",-82.35,11.33
"32,1",-82.35,11.33
"33,1",-82.35,11.33
"34,1",-82.35,11.33
"35,1",-82.35,11.33
"36,1",-82.35,11.33
"37,1",-82.35,11.33
"38,1",-82.35,11.33
"39,1",-82.35,11.33
"40,1",-82.35,11.33
"41,1",-82.35,11.33
"42,1",-82.35,11.33
"43,1",-82.35,11.33
"44,1",-82.35,11.33
"45,1",-82.35,11.33
"46,1",-82.35,11.33
"47,1",-82.35,11.33
"48,1",-82.35,11.33
"49,1",-82.35,11.33
"50,1",-82.35,11.33
"51,1",-82.35,11.33
"52,1",-82.35,11.33
"53,1",-82.35,11.33
"54,1",-82.35,11.33
"55,1",-82.35,11.33
"56,1",-82.35,11.33
"57,1",-82.35,11.33
"58,1",-82.35,11.33
"59,1",-82.35,11.33
"60,1",-82.35,11.33
"61,1",-82.35,11.33
"62,1",-82.35,11.33
"63,1",-82.35,11.33
"64,1",-82.35,11.33
"65,1",-82.35,11.33
"66,1",-82.35,11.33
"67,1",-82.35,11.33
"68,1",-82.35,11.33
"69,1",-82.35,11.33
"70,1",-82.35,11.33
"71,1",-82.35,11.33
"72,1",-82.35,11.33
"73,1",-82.35,11.33
"74,1",-82.35,11.33
"75,1",-82.35,11.33
"76,1",-82.35,11.33
"77,1",-82.35,11.33
"78,1",-82.35,11.33
"79,1",-82.35,11.33
"80,1",-82.35,11.33
"81,1",-82.35,11.33
"82,1",-82.35,11.33
"83,1",-82.34,11.33
"84,1",-82.34,11.33
"85,1",-82.34,11.33
"86,1",-82.34,11.33
"87,1",-82.34,11.33
"88,1",-82.34,11.33
"89,1",-82.33,11.33
"90,1",-82.33,11.33
"91,1",-82.33,11.33
"92,1",-82.32,11.33
"93,1",-82.32,11.32
"94,1",-82.31,11.32
"95,1",-82.31,11.32
"96,1",-82.3,11.32
"97,1",-82.3,11.32
"98,1",-82.29,11.32
"99,1",-82.28,11.32
"100,1",-82.28,11.32
"101,1",-82.27,11.32
"102,1",-82.26,11.32
"103,1",-82.25,11.32
"104,1",-82.24,11.32
"105,1",-82.24,11.32
"106,1",-82.23,11.31
"107,1",-82.22,11.31
"108,1",-82.21,11.31
"109,1",-82.2,11.31
"110,1",-82.19,11.31
"111,1",-82.18,11.31
"112,1",-82.17,11.3
"113,1",-82.16,11.3
"114,1",-82.15,11.3
"115,1",-82.14,11.3
"116,1",-82.13,11.3
