location,rssi_mean,rssi_std
"1,1",-91.82,8.16
"2,1",-91.82,8.16
"3,1",-91.82,8.16
"4,1",-91.82,8.16
"5,1",-91.82,8.16
"6,1",-91.82,8.16
"7,1",-91.82,8.16
"8,1",-91.82,8.16
"9,1",-91.82,8.16
"10,1",-91.82,8.16
"11,1",-91.82,8.16
"12,1",-91.82,8.16
"13,1",-91.82,8.16
"14,1",-91.82,8.16
"15,1",-91.82,8.16
"16,1",-91.82,8.16
"17,1",-91.82,8.16
"18,1",-91.82,8.16
"19,1",-91.82,8.16
"20,1",-91.82,8.16
"21,1",-91.82,8.16
"22,1",-91.82,8.16
"23,1",-91.82,8.16
"24,1",-91.82,8.16
"25,1",-91.82,8.16
"26,1",-91.82,8.16
"27,1",-91.82,8.16
"28,1",-91.82,8.16
"29,1",-91.82,8.16
"30,1",-91.82,8.16
"31,1",-91.82,8.16
"32,1",-91.82,8.16
"33,1",-91.83,8.16
"34,1",-91.83,8.16
"35,1",-91.83,8.16
"36,1",-91.83,8.16
"37,1",-91.83,8.16
"38,1",-91.83,8.15
"39,1",-91.83,8.15
"40,1",-91.84,8.15
"41,1",-91.84,8.15
"42,1",-91.84,8.15
"43,1",-91.84,8.15
"44,1",-91.85,8.15
"45,1",-91.85,8.15
"46,1",-91.85,8.15
"47,1",-91.86,8.15
"48,1",-91.86,8.15
"49,1",-91.87,8.15
"50,1",-91.87,8.14
"51,1",-91.87,8.14
"52,1",-91.88,8.14
"53,1",-91.89,8.14
"54,1",-91.89,8.14
"55,1",-91.9,8.14
"56,1",-91.9,8.13
"57,1",-91.91,8.13
"58,1",-91.92,8.13
"59,1",-91.93,8.13
"60,1",-91.93,8.12
"61,1",-91.94,8.12
"62,1",-91.95,8.12
"63,1",-91.96,8.12
"64,1",-91.97,8.11
"65,1",-91.98,8.11
"66,1",-91.99,8.11
"67,1",-92.0,8.1
"68,1",-92.01,8.1
"69,1",-92.02,8.09
"70,1",-92.03,8.09
"71,1",-92.04,8.09
"72,1",-92.05,8.08
"73,1",-92.06,8.08
"74,1",-92.07,8.07
"75,1",-92.08,8.07
"76,1",-92.09,8.06
"77,1",-92.1,8.06
"78,1",-92.1,8.05
"79,1",-92.11,8.04
"80,1",-92.12,8.04
"81,1",-92.12,8.03
"82,1",-92.13,8.03
"83,1",-92.13,8.02
"84,1",-92.13,8.02
"85,1",-92.13,8.01
"86,1",-92.13,8.01
"87,1",-92.12,8.0
"88,1",-92.12,7.99
"89,1",-92.11,7.99
"90,1",-92.1,7.98
"91,1",-92.09,7.98
"92,1",-92.07,7.97
"93,1",-92.06,7.97
"94,1",-92.04,7.96
"95,1",-92.01,7.96
"96,1",-91.99,7.95
"97,1",-91.96,7.95
"98,1",-91.93,7.94
"99,1",-91.9,7.94
"100,1",-91.86,7.94
"101,1",-91.83,7.93
"102,1",-91.79,7.93
"103,1",-91.74,7.92
"104,1",-91.7,7.92
"105,1",-91.65,7.92
"106,1",-91.6,7.91
"107,1",-91.55,7.91
"108,1",-91.49,7.9
"109,1",-91.44,7.9
"110,1",-91.38,7.9
"111,1",-91.32,7.89
"112,1",-91.26,7.89
"113,1",-91.2,7.88
"114,1",-91.14,7.88
"115,1",-91.09,7.87
"116,1",-91.03,7.87
"117,1",-90.97,7.86
"118,1",-90.91,7.86
"119,1",-90.85,7.85
"120,1",-90.8,7.84
"121,1",-90.75,7.83
"122,1",-90.7,7.83
"123,1",-90.66,7.82
"124,1",-90.61,7.81
"125,1",-90.58,7.8
"126,1",-90.54,7.78
"127,1",-90.51,7.77
"128,1",-90.49,7.76
"129,1",-90.47,7.75
