location,rssi_mean,rssi_std
"1,1",-87.31,11.93
"2,1",-87.31,11.93
"3,1",-87.31,11.93
"4,1",-87.31,11.93
"5,1",-87.31,11.93
"6,1",-87.34,11.93
"7,1",-87.32,11.93
"8,1",-87.32,11.93
"9,1",-87.32,11.92
"10,1",-87.32,11.92
"11,1",-87.31,11.92
"12,1",-87.32,11.92
"13,1",-87.32,11.92
"14,1",-87.32,11.92
"15,1",-87.35,11.92
"16,1",-87.33,11.92
"17,1",-87.32,11.92
"18,1",-87.34,11.92
"19,1",-87.33,11.92
"20,1",-87.33,11.92
"21,1",-87.34,11.92
"22,1",-87.34,11.92
"23,1",-87.34,11.92
"24,1",-87.35,11.92
"25,1",-87.35,11.92
"26,1",-87.35,11.92
"27,1",-87.35,11.92
"28,1",-87.35,11.91
"29,1",-87.36,11.92
"30,1",-87.37,11.91
"31,1",-87.37,11.91
"32,1",-87.37,11.91
"33,1",-87.37,11.91
"34,1",-87.38,11.91
"35,1",-87.39,11.91
"36,1",-87.43,11.91
"37,1",-87.4,11.91
"38,1",-87.4,11.91
"39,1",-87.41,11.91
"40,1",-87.45,11.91
"41,1",-87.42,11.91
"42,1",-87.39,11.9
"43,1",-87.44,11.9
"44,1",-87.45,11.9
"45,1",-87.46,11.9
"46,1",-87.47,11.89
"47,1",-87.47,11.89
"48,1",-87.49,11.89
"49,1",-87.51,11.88
"50,1",-87.52,11.88
"51,1",-87.54,11.87
"52,1",-87.56,11.87
"53,1",-87.57,11.86
"54,1",-87.61,11.85
"55,1",-87.62,11.85
"56,1",-87.64,11.84
"57,1",-87.69,11.83
"58,1",-87.69,11.82
"59,1",-87.72,11.81
"60,1",-87.75,11.8
"61,1",-87.78,11.78
"62,1",-87.81,11.77
"63,1",-87.82,11.76
"64,1",-87.87,11.74
"65,1",-87.9,11.73
"66,1",-87.95,11.72
"67,1",-87.96,11.7
"68,1",-88.0,11.69
"69,1",-88.02,11.67
"70,1",-88.05,11.66
"71,1",-88.08,11.65
"72,1",-88.1,11.64
"73,1",-88.12,11.63
"74,1",-88.14,11.62
"75,1",-88.16,11.61
"76,1",-88.18,11.6
"77,1",-88.19,11.59
"78,1",-88.19,11.59
