location,rssi_mean,rssi_std
"1,1",-91.01,6.41
"2,1",-92.23,6.54
"3,1",-92.76,6.51
"4,1",-92.21,6.4
"5,1",-90.74,6.4
"6,1",-90.47,6.35
"7,1",-91.6,6.31
"8,1",-92.25,6.41
"9,1",-91.63,6.35
"10,1",-90.35,6.34
"11,1",-89.52,6.33
"12,1",-90.03,6.39
"13,1",-91.46,6.39
"14,1",-92.49,6.18
"15,1",-92.73,6.07
"16,1",-92.86,6.23
"17,1",-93.01,6.16
"18,1",-92.57,6.15
"19,1",-91.44,6.3
"20,1",-90.07,6.26
"21,1",-88.75,6.08
"22,1",-88.1,6.24
"23,1",-89.13,6.47
"24,1",-91.47,6.32
"25,1",-93.22,6.22
"26,1",-93.7,5.92
"27,1",-93.9,6.12
"28,1",-93.58,6.41
"29,1",-91.56,6.41
"30,1",-89.34,6.28
"31,1",-89.51,6.27
"32,1",-90.77,6.42
"33,1",-90.37,6.43
"34,1",-90.13,6.28
"35,1",-92.68,6.36
"36,1",-94.53,6.31
"37,1",-92.49,6.35
"38,1",-90.31,6.27
"39,1",-90.63,6.32
"40,1",-91.23,6.45
"41,1",-91.4,6.36
"42,1",-91.3,6.45
"43,1",-90.73,6.48
"44,1",-91.36,6.38
"45,1",-92.5,6.51
"46,1",-91.5,6.36
"47,1",-90.28,6.42
"48,1",-91.03,6.4
"49,1",-91.13,6.36
"50,1",-91.23,6.32
"51,1",-92.54,6.31
"52,1",-92.63,6.21
"53,1",-92.68,6.39
"54,1",-90.43,6.34
"55,1",-87.23,6.02
"56,1",-90.8,6.45
"57,1",-94.86,6.22
"58,1",-92.64,6.17
"59,1",-91.54,6.24
"60,1",-90.69,6.39
"61,1",-90.44,6.37
"62,1",-91.53,6.29
"63,1",-91.46,6.5
"64,1",-92.12,6.54
"65,1",-91.85,6.21
"66,1",-91.47,6.42
"67,1",-91.02,6.55
"68,1",-92.24,6.21
"69,1",-92.81,6.42
"70,1",-90.37,6.15
"71,1",-90.89,6.31
"72,1",-91.45,6.39
"73,1",-93.92,6.24
"74,1",-92.83,6.33
"75,1",-89.56,6.36
"76,1",-90.83,6.49
"77,1",-94.54,6.08
"78,1",-90.44,6.39
"79,1",-93.15,6.28
"80,1",-90.99,6.2
"81,1",-93.72,6.31
"82,1",-90.6,6.44
"83,1",-91.48,6.27
"84,1",-94.52,6.22
"85,1",-91.62,6.18
"86,1",-91.93,6.36
"87,1",-91.42,6.39
"88,1",-94.31,6.29
"89,1",-91.16,6.14
"90,1",-93.31,6.3
"91,1",-92.64,6.16
"92,1",-90.92,6.31
"93,1",-94.81,6.12
"94,1",-91.81,6.33
"95,1",-91.98,6.4
"96,1",-93.5,6.23
"97,1",-92.31,6.1
"98,1",-94.14,6.18
"99,1",-90.22,6.3
"100,1",-94.58,6.15
"101,1",-93.25,6.21
"102,1",-92.6,6.19
"103,1",-92.4,6.33
"104,1",-91.95,6.37
"105,1",-93.37,6.33
"106,1",-90.61,6.2
"107,1",-96.29,6.06
"108,1",-92.45,6.19
"109,1",-93.9,6.08
"110,1",-94.84,6.15
"111,1",-90.64,6.23
"112,1",-96.69,6.08
"113,1",-90.96,6.27
"114,1",-91.69,6.21
"115,1",-94.35,5.87
"116,1",-89.55,6.29
"117,1",-91.23,6.17
"118,1",-93.8,6.29
"119,1",-91.88,5.89
"120,1",-91.16,6.27
"121,1",-91.82,6.37
"122,1",-92.64,6.33
"123,1",-93.06,6.16
"124,1",-92.46,6.22
"125,1",-91.14,6.41
"126,1",-92.64,6.24
"127,1",-92.85,6.23
"128,1",-90.72,6.43
"129,1",-93.37,6.15
"130,1",-91.07,6.23
"131,1",-90.37,6.07
"132,1",-90.1,6.31
"133,1",-89.84,6.16
"134,1",-92.6,6.08
"135,1",-90.26,6.18
"136,1",-89.81,6.21
"137,1",-90.09,6.12
"138,1",-91.44,6.09
"139,1",-90.41,6.12
"140,1",-92.08,6.29
"141,1",-93.55,6.17
"142,1",-92.52,6.24
"143,1",-92.27,6.14
"144,1",-89.86,6.17
"145,1",-91.74,5.96
"146,1",-91.84,6.15
"147,1",-90.92,6.06
"148,1",-90.25,5.96
"149,1",-91.66,5.85
"150,1",-92.52,5.87
"151,1",-92.65,5.77
"152,1",-91.24,5.84
"153,1",-93.14,5.51
"154,1",-91.26,5.6
"155,1",-92.14,5.53
"156,1",-93.6,5.52
"157,1",-90.68,5.53
"158,1",-92.3,5.52
"159,1",-92.13,5.4
"160,1",-91.35,5.33
"161,1",-93.77,5.15
"162,1",-93.64,4.9
"163,1",-93.49,4.97
"164,1",-90.86,5.0
"165,1",-90.31,4.77
"166,1",-92.06,4.29
"167,1",-94.35,4.06
"168,1",-94.44,4.35
"169,1",-91.76,4.27
"170,1",-95.08,3.62
"171,1",-89.94,3.64
"172,1",-93.98,3.05
"173,1",-94.41,3.71
"174,1",-91.75,3.6
"175,1",-93.95,3.38
"176,1",-90.39,3.47
"177,1",-93.52,3.43
"178,1",-93.82,3.5
"179,1",-91.41,3.71
"180,1",-93.15,3.53
"181,1",-91.79,3.69
"182,1",-90.8,3.09
"183,1",-93.81,3.03
"184,1",-95.11,2.04
"185,1",-92.33,3.06
"186,1",-91.02,2.76
"187,1",-95.14,3.19
"188,1",-90.88,3.6
"1,2",-92.02,6.41
"2,2",-90.27,6.34
"3,2",-89.4,6.29
"4,2",-90.33,6.3
"5,2",-91.52,6.48
"6,2",-92.32,6.53
"7,2",-92.19,6.43
"8,2",-90.96,6.44
"9,2",-90.45,6.41
"10,2",-91.67,6.33
"11,2",-92.88,6.36
"12,2",-92.35,6.37
"13,2",-90.71,6.38
"14,2",-89.73,6.28
"15,2",-89.94,6.26
"16,2",-90.43,6.42
"17,2",-90.62,6.34
"18,2",-91.1,6.06
"19,2",-92.29,6.09
"20,2",-93.49,6.09
"21,2",-93.89,6.02
"22,2",-93.49,6.13
"23,2",-92.18,6.44
"24,2",-89.97,6.38
"25,2",-88.14,6.18
"26,2",-88.21,6.21
"27,2",-89.56,6.35
"28,2",-90.72,6.43
"29,2",-92.07,6.05
"30,2",-94.08,6.15
"31,2",-94.69,6.29
"32,2",-92.76,6.28
"33,2",-91.11,6.26
"34,2",-91.51,6.39
"35,2",-91.08,6.36
"36,2",-88.89,6.32
"37,2",-89.14,6.37
"38,2",-92.28,6.4
"39,2",-93.36,6.31
"40,2",-91.95,6.37
"41,2",-91.08,6.35
"42,2",-90.88,6.48
"43,2",-91.22,6.4
"44,2",-91.79,6.42
"45,2",-91.12,6.4
"46,2",-90.77,6.3
"47,2",-92.11,6.48
"48,2",-92.21,6.43
"49,2",-90.86,6.44
