loc,Pred_loc,dist_localization_error_pd
"60,82","59,82",1.0
"27,101","27,100",1.0
"176,81","175,82",1.41
"70,24","70,21",3.0
"94,45","93,43",2.24
"24,8","25,7",1.41
"154,54","153,54",1.0
"13,71","12,70",1.41
"163,22","160,20",3.61
"167,113","165,113",2.0
"152,38","150,38",2.0
"84,77","83,76",1.41
"124,24","121,23",3.16
"15,126","12,123",4.24
"117,6","114,6",3.0
"72,34","70,34",2.0
"139,88","137,88",2.0
"79,112","77,112",2.0
"148,109","147,108",1.41
"44,12","43,8",4.12
"168,8","168,6",2.0
"13,84","10,84",3.0
"155,67","154,67",1.0
"63,4","59,1",5.0
"188,87","186,87",2.0
"52,90","50,90",2.0
"176,11","171,5",7.81
"8,89","9,86",3.16
"100,78","99,77",1.41
"111,37","110,35",2.24
"149,52","148,52",1.0
"180,119","179,119",1.0
"124,100","123,99",1.41
"146,35","145,35",1.0
"30,94","27,97",4.24
"116,39","115,39",1.0
"135,39","134,37",2.24
"99,54","99,53",1.0
"60,28","58,29",2.24
"105,59","103,59",2.0
"161,70","162,70",1.0
"133,52","132,52",1.0
"176,92","177,90",2.24
"121,22","120,19",3.16
"121,49","120,49",1.0
"110,130","107,129",3.16
"179,115","177,114",2.24
"113,6","108,5",5.1
"149,37","145,35",4.47
"24,6","24,4",2.0
"142,21","139,21",3.0
"72,114","72,113",1.0
"164,120","163,119",1.41
"178,127","177,126",1.41
"160,74","159,75",1.41
"144,60","141,59",3.16
"30,23","28,25",2.83
"41,50","40,49",1.41
"158,54","158,52",2.0
"83,90","84,89",1.41
"32,11","31,12",1.41
"99,28","100,26",2.24
"95,75","93,75",2.0
"83,48","82,49",1.41
"6,79","4,79",2.0
"44,13","43,10",3.16
"121,37","120,36",1.41
"99,25","99,24",1.0
"102,114","100,113",2.24
"18,35","15,31",5.0
"186,55","185,55",1.0
"152,46","152,43",3.0
"26,53","25,51",2.24
"30,35","30,34",1.0
"74,10","74,8",2.0
"9,9","12,7",3.61
"44,122","42,121",2.24
"6,80","3,80",3.0
"120,109","119,107",2.24
"109,15","107,14",2.24
"104,39","103,39",1.0
"75,21","75,19",2.0
"152,14","146,11",6.71
"169,51","169,48",3.0
"166,24","167,24",1.0
"132,104","133,104",1.0
"148,32","146,32",2.0
"161,3","156,1",5.39
"72,2","69,3",3.16
"60,108","61,107",1.41
"7,2","7,1",1.0
"154,114","155,114",1.0
"174,43","173,48",5.1
"39,45","40,45",1.0
"148,70","147,69",1.41
"137,40","135,42",2.83
"103,102","101,102",2.0
"141,3","142,1",2.24
"43,60","44,58",2.24
"105,19","107,15",4.47
"32,40","30,39",2.24
"91,71","93,71",2.0
"151,87","149,88",2.24
"81,117","79,116",2.24
"111,19","109,17",2.83
"18,125","18,123",2.0
"177,121","178,119",2.24
"113,110","112,108",2.24
"57,125","54,125",3.0
"142,116","142,115",1.0
"178,103","177,104",1.41
"111,121","110,120",1.41
"121,33","120,33",1.0
"21,20","19,19",2.24
"5,62","2,62",3.0
"32,41","30,42",2.24
"97,64","92,65",5.1
"184,66","183,65",1.41
"63,30","64,27",3.16
"31,8","30,10",2.24
"159,44","156,44",3.0
"72,20","69,21",3.16
"175,6","173,4",2.83
"131,20","128,19",3.16
"17,40","16,39",1.41
"14,56","13,56",1.0
"126,55","126,53",2.0
"40,121","41,120",1.41
"144,70","144,71",1.0
"56,44","56,42",2.0
"61,76","58,76",3.0
"54,65","55,65",1.0
"185,48","184,47",1.41
"149,67","147,66",2.24
"142,43","138,44",4.12
"44,100","43,99",1.41
"141,57","139,57",2.0
"20,103","21,101",2.24
"64,76","64,75",1.0
"112,93","112,92",1.0
"147,92","143,92",4.0
"90,76","88,76",2.0
"141,129","139,127",2.83
"67,129","64,128",3.16
"142,28","138,26",4.47
"17,43","18,40",3.16
"74,125","71,123",3.61
"11,127","10,126",1.41
"142,8","143,5",3.16
"139,79","141,77",2.83
"164,117","163,116",1.41
"51,82","50,81",1.41
"148,6","143,4",5.39
"144,121","143,121",1.0
"17,94","15,91",3.61
"29,94","26,95",3.16
"143,55","142,55",1.0
"34,95","32,94",2.24
"128,68","128,68",0.0
"117,48","116,48",1.0
"96,2","89,1",7.07
"35,1","30,2",5.1
"6,61","4,61",2.0
"155,83","154,82",1.41
"76,34","73,33",3.16
"145,130","144,130",1.0
"12,94","10,94",2.0
"66,114","63,114",3.0
"169,61","168,61",1.0
"38,17","38,14",3.0
"22,34","21,29",5.1
"91,13","89,11",2.83
"136,19","133,18",3.16
"21,26","17,25",4.12
"137,108","136,108",1.0
"93,45","90,43",3.61
"144,57","143,56",1.41
"11,58","10,58",1.0
"105,114","106,115",1.41
"134,125","134,123",2.0
"176,78","175,77",1.41
"152,75","150,75",2.0
"141,12","136,11",5.1
"162,52","161,51",1.41
"173,84","174,83",1.41
"129,95","128,95",1.0
"178,85","177,84",1.41
"141,73","144,75",3.61
"79,45","77,45",2.0
"7,61","5,59",2.83
"69,83","67,82",2.24
"187,43","185,43",2.0
"162,12","161,10",2.24
"23,127","21,125",2.83
"146,18","138,17",8.06
"136,14","134,15",2.24
"124,79","123,80",1.41
"23,119","22,117",2.24
"77,4","70,1",7.62
"124,61","124,59",2.0
"35,25","33,25",2.0
"2,112","4,111",2.24
"57,65","55,65",2.0
"91,70","89,70",2.0
"125,60","125,61",1.0
"126,60","125,57",3.16
"49,71","48,70",1.41
"155,118","157,119",2.24
"125,66","124,67",1.41
"172,109","170,107",2.83
"61,64","60,64",1.0
"66,69","63,69",3.0
"186,75","185,75",1.0
"18,92","19,92",1.0
"98,67","97,67",1.0
"118,4","116,5",2.24
"50,79","49,79",1.0
"103,9","105,7",2.83
"186,76","186,74",2.0
"171,86","172,84",2.24
"96,47","96,45",2.0
"81,24","79,25",2.24
"46,46","45,46",1.0
"182,82","181,82",1.0
"161,20","156,17",5.83
"63,7","64,2",5.1
"93,124","91,122",2.83
"61,21","58,19",3.61
"39,19","39,18",1.0
"82,76","83,75",1.41
"32,123","32,120",3.0
"145,48","146,47",1.41
"152,96","149,97",3.16
"132,42","133,41",1.41
"154,120","155,119",1.41
"50,102","47,104",3.61
"14,23","10,26",5.0
"187,23","185,23",2.0
"101,12","100,10",2.24
"3,35","2,34",1.41
"122,83","121,83",1.0
"176,31","175,29",2.24
"62,29","63,26",3.16
"17,123","14,120",4.24
"101,115","98,113",3.61
"174,98","173,98",1.0
"174,68","175,69",1.41
"40,95","37,96",3.16
"181,38","179,33",5.39
"145,50","142,50",3.0
"12,125","13,122",3.16
"63,83","63,81",2.0
"16,94","14,93",2.24
"3,86","2,86",1.0
"56,22","54,24",2.83
"67,54","66,54",1.0
"27,29","27,31",2.0
"150,22","147,20",3.61
"89,106","87,106",2.0
"141,9","140,7",2.24
"17,12","17,13",1.0
"83,125","82,124",1.41
"160,8","159,5",3.16
"141,41","139,42",2.24
"69,70","68,70",1.0
"100,54","100,53",1.0
"52,15","51,13",2.24
"25,90","24,90",1.0
"31,6","29,5",2.24
"44,71","44,70",1.0
"58,19","59,19",1.0
"75,79","76,78",1.41
"113,15","111,13",2.83
"37,76","35,77",2.24
"113,18","112,17",1.41
"150,71","148,69",2.83
"70,29","67,26",4.24
"127,97","126,96",1.41
"88,50","85,52",3.61
"136,35","133,34",3.16
"104,17","105,14",3.16
"69,85","68,85",1.0
"66,128","65,128",1.0
"5,80","4,79",1.41
"86,118","81,115",5.83
"12,2","8,1",4.12
"71,82","70,82",1.0
"127,36","127,35",1.0
"100,58","99,58",1.0
"86,76","84,76",2.0
"34,53","33,53",1.0
"89,50","89,47",3.0
"165,86","164,86",1.0
"10,11","10,9",2.0
"20,89","17,87",3.61
"151,63","149,63",2.0
"5,82","2,81",3.16
"42,75","40,71",4.47
"164,20","163,21",1.41
"54,102","53,101",1.41
"61,118","57,117",4.12
"7,9","5,7",2.83
"33,104","33,101",3.0
"170,118","170,118",0.0
"173,60","172,61",1.41
"2,115","1,112",3.16
"132,110","132,110",0.0
"70,107","68,106",2.24
"141,74","144,75",3.16
"148,1","152,3",4.47
"80,111","82,110",2.24
"49,93","51,93",2.0
"135,97","134,98",1.41
"119,19","117,16",3.61
"105,79","106,79",1.0
"10,92","11,92",1.0
"126,116","124,116",2.0
"97,115","94,113",3.61
"39,25","40,23",2.24
"142,129","139,128",3.16
"1,112","1,110",2.0
"188,66","188,65",1.0
"179,41","177,41",2.0
"78,63","77,63",1.0
"173,90","172,90",1.0
"85,77","84,76",1.41
"118,102","118,101",1.0
"32,79","29,79",3.0
"140,82","139,81",1.41
"109,88","110,87",1.41
"106,129","103,128",3.16
"91,35","90,33",2.24
"32,124","35,120",5.0
"30,21","27,18",4.24
"67,15","64,13",3.61
"92,67","91,68",1.41
"174,6","173,6",1.0
"47,87","46,88",1.41
"119,7","116,7",3.0
"100,9","98,6",3.61
"177,5","175,1",4.47
"93,2","89,1",4.12
"57,41","58,41",1.0
"37,81","34,81",3.0
"111,93","112,92",1.41
"162,124","161,123",1.41
"134,108","132,108",2.0
"39,28","39,27",1.0
