Sr No,Timestamp,Device Name,MAC Address,RSSI,Raw Data
1,01-03-2024 15:48:38:268,-,19:55:89:14:F1:0B,-96,1e06000109200299b6f184563df70b3e35bcfe12f1833891d0d703be88f2
2,01-03-2024 15:48:38:287,-,3F:8A:15:25:EE:04,-77,1606000109210a3675b7995f48526563657074696f6e
3,01-03-2024 15:48:38:307,-,6E:C7:EC:36:A1:C5,-88,0a4c00100500184fac9e
4,01-03-2024 15:48:38:314,-,55:A5:B8:82:78:BC,-76,1e0600010920022082a6b154338c83ab80aaf94ec6fca41758d94693f48d
5,01-03-2024 15:48:38:322,-,32:D3:0B:DF:BA:51,-83,1e0600010920022bbb711aefb9c4e7dbe600a7effebbfa4641d07975db44
6,01-03-2024 15:48:38:368,-,0A:57:9D:B1:9A:9C,-85,1e060001092022298a3af76a8722e5afb26353f484692b87d1257a9285f0
7,01-03-2024 15:48:38:393,-,19:55:89:14:F1:0B,-86,1e06000109200299b6f184563df70b3e35bcfe12f1833891d0d703be88f2
8,01-03-2024 15:48:38:401,-,40:BD:C2:16:75:A4,-90,0b4c001006341e06f36d94
9,01-03-2024 15:48:38:407,-,6E:E9:15:58:DA:0C,-93,0200
10,01-03-2024 15:48:38:414,-,3F:8A:15:25:EE:04,-78,1606000109210a3675b7995f48526563657074696f6e
11,01-03-2024 15:48:38:419,-,55:A5:B8:82:78:BC,-99,1e0600010920022082a6b154338c83ab80aaf94ec6fca41758d94693f48d
12,01-03-2024 15:48:38:442,IW64,7C:D9:F4:03:A3:3C,-96,0689a0001805d050949573634
13,01-03-2024 15:48:38:447,IW12,7C:D9:F4:04:02:E4,-97,0689a00018064050949573132
14,01-03-2024 15:48:38:465,-,0A:57:9D:B1:9A:9C,-84,1e060001092022298a3af76a8722e5afb26353f484692b87d1257a9285f0
15,01-03-2024 15:48:38:517,-,32:D3:0B:DF:BA:51,-90,1e0600010920022bbb711aefb9c4e7dbe600a7effebbfa4641d07975db44
16,01-03-2024 15:48:38:522,-,3F:8A:15:25:EE:04,-70,1606000109210a3675b7995f48526563657074696f6e
17,01-03-2024 15:48:38:528,-,55:A5:B8:82:78:BC,-89,1e0600010920022082a6b154338c83ab80aaf94ec6fca41758d94693f48d
18,01-03-2024 15:48:38:580,-,4A:F4:FB:39:D5:A6,-72,0d4c0016080046647c555cafa4
19,01-03-2024 15:48:38:625,-,55:A5:B8:82:78:BC,-79,1e0600010920022082a6b154338c83ab80aaf94ec6fca41758d94693f48d
20,01-03-2024 15:48:38:683,IW17,7C:D9:F4:02:8B:BA,-79,0689a00018069050949573137
21,01-03-2024 15:48:38:794,IW10,7C:D9:F4:03:84:63,-88,0689a00018066050949573130
22,01-03-2024 15:48:38:824,-,3F:8A:15:25:EE:04,-76,1606000109210a3675b7995f48526563657074696f6e
23,01-03-2024 15:48:38:836,-,55:A5:B8:82:78:BC,-90,1e0600010920022082a6b154338c83ab80aaf94ec6fca41758d94693f48d
24,01-03-2024 15:48:38:869,-,DA:1C:5A:56:44:92,-93,074c0012020001
25,01-03-2024 15:48:38:877,-,6E:C7:EC:36:A1:C5,-84,0a4c00100500184fac9e
26,01-03-2024 15:48:38:885,-,0A:57:9D:B1:9A:9C,-86,1e060001092022298a3af76a8722e5afb26353f484692b87d1257a9285f0
27,01-03-2024 15:48:38:920,-,3F:8A:15:25:EE:04,-70,1606000109210a3675b7995f48526563657074696f6e
28,01-03-2024 15:48:38:987,-,73:6D:00:0A:EC:5F,-88,0d4c0016080017a7f56a0d3d16
29,01-03-2024 15:48:39:003,-,19:55:89:14:F1:0B,-81,1e06000109200299b6f184563df70b3e35bcfe12f1833891d0d703be88f2
30,01-03-2024 15:48:39:027,IW63,7C:D9:F4:1C:2E:D9,-94,0689a0001804a050949573633
31,01-03-2024 15:48:39:031,-,3F:8A:15:25:EE:04,-81,1606000109210a3675b7995f48526563657074696f6e
32,01-03-2024 15:48:39:129,-,3F:8A:15:25:EE:04,-67,1606000109210a3675b7995f48526563657074696f6e
33,01-03-2024 15:48:39:142,-,32:D3:0B:DF:BA:51,-90,1e0600010920022bbb711aefb9c4e7dbe600a7effebbfa4641d07975db44
34,01-03-2024 15:48:39:147,-,55:A5:B8:82:78:BC,-84,1e0600010920022082a6b154338c83ab80aaf94ec6fca41758d94693f48d
35,01-03-2024 15:48:39:181,-,0A:57:9D:B1:9A:9C,-87,1e060001092022298a3af76a8722e5afb26353f484692b87d1257a9285f0
36,01-03-2024 15:48:39:245,-,3F:8A:15:25:EE:04,-78,1606000109210a3675b7995f48526563657074696f6e
37,01-03-2024 15:48:39:291,-,0A:57:9D:B1:9A:9C,-84,1e060001092022298a3af76a8722e5afb26353f484692b87d1257a9285f0
38,01-03-2024 15:48:39:312,-,19:55:89:14:F1:0B,-93,1e06000109200299b6f184563df70b3e35bcfe12f1833891d0d703be88f2
39,01-03-2024 15:48:39:344,-,3F:8A:15:25:EE:04,-72,1606000109210a3675b7995f48526563657074696f6e
40,01-03-2024 15:48:39:390,-,0A:57:9D:B1:9A:9C,-87,1e060001092022298a3af76a8722e5afb26353f484692b87d1257a9285f0
41,01-03-2024 15:48:39:410,IW21,7C:D9:F4:04:2B:B9,-94,0689a00018065050949573231
42,01-03-2024 15:48:39:412,-,19:55:89:14:F1:0B,-105,1e06000109200299b6f184563df70b3e35bcfe12f1833891d0d703be88f2
43,01-03-2024 15:48:39:445,-,5D:06:EF:9F:45:33,-92,0200
44,01-03-2024 15:48:39:451,-,3F:8A:15:25:EE:04,-75,1606000109210a3675b7995f48526563657074696f6e
45,01-03-2024 15:48:39:455,-,32:D3:0B:DF:BA:51,-87,1e0600010920022bbb711aefb9c4e7dbe600a7effebbfa4641d07975db44
46,01-03-2024 15:48:39:500,-,0A:57:9D:B1:9A:9C,-90,1e060001092022298a3af76a8722e5afb26353f484692b87d1257a9285f0
47,01-03-2024 15:48:39:553,-,3F:8A:15:25:EE:04,-75,1606000109210a3675b7995f48526563657074696f6e
48,01-03-2024 15:48:39:560,-,32:D3:0B:DF:BA:51,-90,1e0600010920022bbb711aefb9c4e7dbe600a7effebbfa4641d07975db44
49,01-03-2024 15:48:39:565,-,55:A5:B8:82:78:BC,-90,1e0600010920022082a6b154338c83ab80aaf94ec6fca41758d94693f48d
50,01-03-2024 15:48:39:634,IW63,7C:D9:F4:1C:2E:D9,-84,0689a0001804a050949573633
51,01-03-2024 15:48:39:654,-,3F:8A:15:25:EE:04,-85,1606000109210a3675b7995f48526563657074696f6e
52,01-03-2024 15:48:39:661,-,32:D3:0B:DF:BA:51,-90,1e0600010920022bbb711aefb9c4e7dbe600a7effebbfa4641d07975db44
53,01-03-2024 15:48:39:667,-,55:A5:B8:82:78:BC,-89,1e0600010920022082a6b154338c83ab80aaf94ec6fca41758d94693f48d
54,01-03-2024 15:48:39:692,IW13,7C:D9:F4:00:9D:60,-80,0689a00018067050949573133
55,01-03-2024 15:48:39:706,IW10,7C:D9:F4:03:84:63,-96,0689a00018066050949573130
56,01-03-2024 15:48:39:714,IW21,7C:D9:F4:04:2B:B9,-74,0689a00018065050949573231
57,01-03-2024 15:48:39:724,-,19:55:89:14:F1:0B,-94,1e06000109200299b6f184563df70b3e35bcfe12f1833891d0d703be88f2
58,01-03-2024 15:48:39:740,-,40:BD:C2:16:75:A4,-84,0b4c001006341e06f36d94
