rssi_mean,rssi_std,location
-91.93430656934306,2.9303455852648046,"80,78"
-83.29756097560976,4.111167883732454,"76,80"
-97.0,0.0,"102,80"
-89.57352941176471,4.664686410463031,"63,80"
-76.92146596858639,5.167266074882582,"63,92"
-69.42660550458716,3.675686098392333,"60, 100"
-66.60698689956332,3.028704610871736,"65, 103"
-93.288,2.4781154129701064,"54,78"
-95.21818181818182,2.120813815418369,"49,80"
-93.65384615384616,2.3808903908526404,"47,78"
-97.16666666666667,1.2801909579781012,"33,83"
-97.0,0.6324555320336759,"25,80"
