rssi_mean,rssi_std,location
-95.81481481481481,2.073412592930134,"181, 121"
-84.45454545454545,3.709863258861307,"134,99"
-83.34482758620689,4.643194466671728,"144,84"
-83.2280701754386,4.705418839084971,"152,76"
-80.17796610169492,4.919059018345841,"152,61"
-79.86363636363636,2.32956208419785,"144,66"
-79.43103448275862,3.469632142707278,"134,76"
-78.07638888888889,4.13837035342401,"134,60"
-79.53896103896103,4.657256754678823,"152,52"
-78.296875,5.7273458280756016,"134,52"
-90.44262295081967,3.380389880336264,"119,80"
-96.12962962962963,2.244716399609902,"184, 03"
-93.20833333333333,3.148798271651513,"116,62"
-95.66666666666667,1.5986105077709065,"116,53"
-97.66666666666667,1.247219128924647,"104,53"
-95.92307692307692,2.1289773081689303,"181, 93"
-96.25,2.0463381929681126,"102,80"
-94.44444444444444,2.832788618662658,"171, 110"
-92.88,2.0556264252047356,"168, 118"
-90.7125,3.3098102286989204,"153, 121"
-93.4047619047619,2.7779705148553857,"165,97"
-93.3015873015873,2.920289834685747,"154, 106"
-83.49107142857143,3.0850895324883827,"152,92"
