location,rssi_mean,rssi_std
"1,1",-92.64,9.66
"2,1",-92.64,9.66
"3,1",-92.64,9.66
"4,1",-92.64,9.66
"5,1",-92.64,9.66
"6,1",-92.64,9.66
"7,1",-92.64,9.66
"8,1",-92.64,9.66
"9,1",-92.64,9.66
"10,1",-92.64,9.66
"11,1",-92.64,9.66
"12,1",-92.64,9.66
"13,1",-92.64,9.66
"14,1",-92.64,9.66
"15,1",-92.64,9.66
"16,1",-92.64,9.66
"17,1",-92.64,9.66
"18,1",-92.64,9.66
"19,1",-92.64,9.66
"20,1",-92.64,9.66
"21,1",-92.64,9.66
"22,1",-92.64,9.66
"23,1",-92.64,9.66
"24,1",-92.64,9.66
"25,1",-92.64,9.66
"26,1",-92.64,9.66
"27,1",-92.64,9.66
"28,1",-92.64,9.66
"29,1",-92.64,9.66
"30,1",-92.64,9.66
"31,1",-92.64,9.66
"32,1",-92.64,9.66
"33,1",-92.64,9.66
"34,1",-92.64,9.66
"35,1",-92.64,9.66
"36,1",-92.64,9.66
"37,1",-92.64,9.66
"38,1",-92.64,9.66
"39,1",-92.64,9.66
"40,1",-92.64,9.66
"41,1",-92.64,9.66
"42,1",-92.64,9.66
"43,1",-92.64,9.66
"44,1",-92.64,9.66
"45,1",-92.64,9.66
"46,1",-92.64,9.66
"47,1",-92.64,9.66
"48,1",-92.64,9.66
"49,1",-92.64,9.66
"50,1",-92.64,9.66
"51,1",-92.64,9.66
"52,1",-92.64,9.66
"53,1",-92.64,9.66
"54,1",-92.64,9.66
"55,1",-92.64,9.66
"56,1",-92.64,9.66
"57,1",-92.64,9.66
"58,1",-92.64,9.66
"59,1",-92.64,9.66
"60,1",-92.64,9.66
"61,1",-92.64,9.66
"62,1",-92.64,9.66
"63,1",-92.64,9.66
"64,1",-92.64,9.66
"65,1",-92.64,9.66
"66,1",-92.64,9.66
"67,1",-92.64,9.66
"68,1",-92.64,9.66
"69,1",-92.64,9.66
"70,1",-92.64,9.66
"71,1",-92.64,9.66
"72,1",-92.64,9.66
"73,1",-92.64,9.66
"74,1",-92.64,9.66
"75,1",-92.64,9.66
"76,1",-92.64,9.66
"77,1",-92.64,9.66
"78,1",-92.64,9.66
"79,1",-92.64,9.66
"80,1",-92.64,9.66
"81,1",-92.64,9.66
"82,1",-92.64,9.66
"83,1",-92.64,9.66
"84,1",-92.64,9.66
"85,1",-92.64,9.66
"86,1",-92.64,9.66
"87,1",-92.64,9.66
"88,1",-92.64,9.66
"89,1",-92.64,9.66
"90,1",-92.64,9.66
"91,1",-92.64,9.66
"92,1",-92.64,9.66
"93,1",-92.64,9.66
"94,1",-92.64,9.66
"95,1",-92.64,9.66
"96,1",-92.64,9.66
"97,1",-92.64,9.66
"98,1",-92.64,9.66
"99,1",-92.64,9.66
"100,1",-92.64,9.66
"101,1",-92.64,9.66
"102,1",-92.64,9.66
"103,1",-92.64,9.66
"104,1",-92.64,9.66
"105,1",-92.64,9.66
"106,1",-92.64,9.66
"107,1",-92.64,9.66
"108,1",-92.64,9.66
"109,1",-92.64,9.66
"110,1",-92.64,9.66
"111,1",-92.64,9.66
"112,1",-92.64,9.66
"113,1",-92.64,9.66
"114,1",-92.64,9.66
"115,1",-92.64,9.66
"116,1",-92.64,9.66
"117,1",-92.64,9.66
"118,1",-92.64,9.66
"119,1",-92.64,9.66
"120,1",-92.64,9.66
"121,1",-92.64,9.66
"122,1",-92.64,9.66
"123,1",-92.64,9.66
"124,1",-92.64,9.66
"125,1",-92.64,9.66
"126,1",-92.64,9.66
"127,1",-92.64,9.66
"128,1",-92.64,9.66
"129,1",-92.64,9.66
"130,1",-92.64,9.66
"131,1",-92.64,9.66
"132,1",-92.64,9.66
"133,1",-92.64,9.66
"134,1",-92.64,9.66
"135,1",-92.64,9.66
"136,1",-92.64,9.66
