location,rssi_mean,rssi_std
"1,1",-98.73,16.56
"2,1",-98.64,16.5
"3,1",-98.55,16.43
"4,1",-98.46,16.37
"5,1",-98.37,16.3
"6,1",-98.28,16.24
"7,1",-98.18,16.18
"8,1",-98.09,16.11
"9,1",-98.0,16.05
"10,1",-97.91,15.99
"11,1",-97.81,15.93
"12,1",-97.72,15.86
"13,1",-97.63,15.8
"14,1",-97.53,15.74
"15,1",-97.44,15.68
"16,1",-97.34,15.62
"17,1",-97.25,15.56
"18,1",-97.15,15.49
"19,1",-97.06,15.43
"20,1",-96.96,15.37
"21,1",-96.87,15.31
"22,1",-96.77,15.25
"23,1",-96.67,15.19
"24,1",-96.58,15.13
"25,1",-96.48,15.07
"26,1",-96.38,15.01
"27,1",-96.29,14.95
"28,1",-96.19,14.89
"29,1",-96.09,14.83
"30,1",-95.99,14.77
"31,1",-95.9,14.71
"32,1",-95.8,14.66
"33,1",-95.7,14.6
"34,1",-95.6,14.54
"35,1",-95.5,14.48
"36,1",-95.4,14.42
"37,1",-95.3,14.37
"38,1",-95.21,14.31
"39,1",-95.11,14.25
"40,1",-95.01,14.19
"41,1",-94.91,14.14
"42,1",-94.81,14.08
"43,1",-94.71,14.03
"44,1",-94.61,13.97
"45,1",-94.51,13.91
"46,1",-94.41,13.86
"47,1",-94.31,13.8
"48,1",-94.21,13.75
"49,1",-94.11,13.69
"50,1",-94.01,13.64
"51,1",-93.91,13.58
"52,1",-93.81,13.53
"53,1",-93.71,13.48
"54,1",-93.61,13.42
"55,1",-93.51,13.37
"56,1",-93.41,13.31
"57,1",-93.31,13.26
"58,1",-93.21,13.21
"59,1",-93.11,13.16
"60,1",-93.01,13.1
"61,1",-92.91,13.05
"62,1",-92.81,13.0
"63,1",-92.71,12.95
"64,1",-92.61,12.9
"65,1",-92.51,12.85
"66,1",-92.41,12.79
"67,1",-92.31,12.74
"68,1",-92.21,12.69
"69,1",-92.11,12.64
"70,1",-92.01,12.59
"71,1",-91.91,12.54
"72,1",-91.81,12.49
"73,1",-91.71,12.44
"74,1",-91.61,12.39
"75,1",-91.5,12.34
"76,1",-91.4,12.3
"77,1",-91.3,12.25
"78,1",-91.2,12.2
"79,1",-91.1,12.15
"80,1",-91.0,12.1
"81,1",-90.89,12.06
"82,1",-90.79,12.01
"83,1",-90.69,11.96
"84,1",-90.58,11.91
"85,1",-90.48,11.87
"86,1",-90.37,11.82
"87,1",-90.26,11.77
"88,1",-90.16,11.73
"89,1",-90.05,11.68
"90,1",-89.94,11.63
"91,1",-89.83,11.59
"92,1",-89.72,11.54
"93,1",-89.6,11.5
"94,1",-89.49,11.45
"95,1",-89.37,11.41
"96,1",-89.26,11.36
"97,1",-89.14,11.32
"98,1",-89.02,11.28
"99,1",-88.9,11.23
"100,1",-88.78,11.19
"101,1",-88.66,11.14
"102,1",-88.53,11.1
"103,1",-88.41,11.06
"104,1",-88.28,11.01
"105,1",-88.16,10.97
"106,1",-88.03,10.93
"107,1",-87.9,10.89
"108,1",-87.76,10.84
"109,1",-87.63,10.8
"110,1",-87.5,10.76
"111,1",-87.36,10.72
"112,1",-87.23,10.68
"113,1",-87.09,10.63
"114,1",-86.95,10.59
"115,1",-86.81,10.55
"116,1",-86.67,10.51
"117,1",-86.53,10.47
"118,1",-86.39,10.42
"119,1",-86.25,10.38
"120,1",-86.1,10.34
"121,1",-85.96,10.3
"122,1",-85.81,10.25
"123,1",-85.66,10.21
"124,1",-85.51,10.16
"125,1",-85.36,10.12
"126,1",-85.21,10.07
"127,1",-85.06,10.03
"128,1",-84.9,9.98
"129,1",-84.75,9.93
"130,1",-84.59,9.89
"131,1",-84.43,9.84
"132,1",-84.26,9.78
"133,1",-84.1,9.73
"134,1",-83.93,9.68
"135,1",-83.76,9.62
"136,1",-83.59,9.56
"137,1",-83.41,9.5
"138,1",-83.24,9.44
"139,1",-83.05,9.37
"140,1",-82.87,9.31
"141,1",-82.68,9.24
"142,1",-82.49,9.16
"143,1",-82.29,9.08
"144,1",-82.09,9.0
"145,1",-81.88,8.92
"146,1",-81.67,8.83
"147,1",-81.46,8.74
"148,1",-81.24,8.64
"149,1",-81.02,8.54
"150,1",-80.79,8.44
"151,1",-80.56,8.33
"152,1",-80.33,8.21
"153,1",-80.09,8.09
"154,1",-79.85,7.96
