location,rssi_mean,rssi_std
"1,1",-88.76,17.23
"2,1",-88.75,17.2
"3,1",-88.74,17.18
"4,1",-88.74,17.15
"5,1",-88.73,17.13
"6,1",-88.72,17.1
"7,1",-88.71,17.08
"8,1",-88.7,17.05
"9,1",-88.69,17.03
"10,1",-88.68,17.0
"11,1",-88.67,16.97
"12,1",-88.66,16.95
"13,1",-88.65,16.92
"14,1",-88.64,16.89
"15,1",-88.63,16.86
"16,1",-88.62,16.84
"17,1",-88.61,16.81
"18,1",-88.59,16.78
"19,1",-88.58,16.75
"20,1",-88.57,16.73
"21,1",-88.56,16.7
"22,1",-88.55,16.67
"23,1",-88.53,16.64
"24,1",-88.52,16.61
"25,1",-88.51,16.58
"26,1",-88.5,16.55
"27,1",-88.48,16.52
"28,1",-88.47,16.49
"29,1",-88.45,16.46
"30,1",-88.44,16.43
"31,1",-88.43,16.4
"32,1",-88.41,16.37
"33,1",-88.4,16.34
"34,1",-88.38,16.31
"35,1",-88.37,16.28
"36,1",-88.35,16.24
"37,1",-88.33,16.21
"38,1",-88.32,16.18
"39,1",-88.3,16.15
"40,1",-88.29,16.12
"41,1",-88.27,16.08
"42,1",-88.25,16.05
"43,1",-88.23,16.02
"44,1",-88.21,15.98
"45,1",-88.2,15.95
"46,1",-88.18,15.92
"47,1",-88.16,15.88
"48,1",-88.14,15.85
"49,1",-88.12,15.82
"50,1",-88.1,15.78
"51,1",-88.08,15.75
"52,1",-88.06,15.71
"53,1",-88.04,15.68
"54,1",-88.02,15.65
"55,1",-88.0,15.61
"56,1",-87.97,15.58
"57,1",-87.95,15.54
"58,1",-87.93,15.51
"59,1",-87.91,15.47
"60,1",-87.88,15.44
"61,1",-87.86,15.4
"62,1",-87.84,15.37
"63,1",-87.81,15.33
"64,1",-87.79,15.3
"65,1",-87.76,15.26
"66,1",-87.74,15.23
"67,1",-87.72,15.19
"68,1",-87.69,15.16
"69,1",-87.67,15.12
"70,1",-87.64,15.09
"71,1",-87.62,15.06
"72,1",-87.59,15.02
"73,1",-87.57,14.99
"74,1",-87.54,14.96
"75,1",-87.52,14.92
"76,1",-87.5,14.89
"77,1",-87.47,14.86
"78,1",-87.45,14.83
"79,1",-87.43,14.79
"80,1",-87.41,14.76
"81,1",-87.39,14.73
"82,1",-87.37,14.7
"83,1",-87.35,14.67
"84,1",-87.33,14.64
"85,1",-87.31,14.61
"86,1",-87.3,14.58
"87,1",-87.29,14.56
"88,1",-87.27,14.53
"89,1",-87.26,14.5
"90,1",-87.25,14.48
"91,1",-87.25,14.45
"92,1",-87.24,14.43
"93,1",-87.24,14.4
"94,1",-87.24,14.38
"95,1",-87.24,14.36
"96,1",-87.25,14.34
"97,1",-87.26,14.31
"98,1",-87.27,14.29
"99,1",-87.28,14.28
"100,1",-87.29,14.26
"101,1",-87.31,14.24
"102,1",-87.34,14.22
"103,1",-87.36,14.21
"104,1",-87.39,14.19
"105,1",-87.42,14.18
"106,1",-87.46,14.17
