location,rssi_mean,rssi_std
"1,1",-92.22,8.46
"2,1",-92.22,8.46
"3,1",-92.22,8.46
"4,1",-92.22,8.46
"5,1",-92.22,8.46
"6,1",-92.22,8.46
"7,1",-92.22,8.46
"8,1",-92.22,8.46
"9,1",-92.22,8.46
"10,1",-92.22,8.46
"11,1",-92.22,8.46
"12,1",-92.22,8.46
"13,1",-92.22,8.46
"14,1",-92.22,8.46
"15,1",-92.22,8.46
"16,1",-92.22,8.46
"17,1",-92.22,8.46
"18,1",-92.22,8.46
"19,1",-92.22,8.46
"20,1",-92.22,8.46
"21,1",-92.22,8.46
"22,1",-92.22,8.46
"23,1",-92.22,8.46
"24,1",-92.22,8.46
"25,1",-92.22,8.46
"26,1",-92.22,8.46
"27,1",-92.22,8.46
"28,1",-92.22,8.46
"29,1",-92.22,8.46
"30,1",-92.22,8.46
"31,1",-92.22,8.46
"32,1",-92.22,8.46
"33,1",-92.22,8.46
"34,1",-92.22,8.46
"35,1",-92.22,8.46
"36,1",-92.22,8.46
"37,1",-92.22,8.46
"38,1",-92.22,8.46
"39,1",-92.22,8.46
"40,1",-92.22,8.46
"41,1",-92.22,8.46
"42,1",-92.22,8.46
"43,1",-92.22,8.46
"44,1",-92.22,8.46
"45,1",-92.22,8.46
"46,1",-92.22,8.46
"47,1",-92.22,8.46
"48,1",-92.22,8.46
"49,1",-92.22,8.46
"50,1",-92.22,8.46
"51,1",-92.22,8.46
"52,1",-92.22,8.46
"53,1",-92.22,8.46
"54,1",-92.22,8.46
"55,1",-92.22,8.46
"56,1",-92.22,8.46
"57,1",-92.23,8.46
"58,1",-92.23,8.46
"59,1",-92.23,8.46
"60,1",-92.23,8.46
"61,1",-92.23,8.46
"62,1",-92.23,8.46
"63,1",-92.23,8.46
"64,1",-92.23,8.46
"65,1",-92.23,8.46
"66,1",-92.23,8.46
"67,1",-92.23,8.46
"68,1",-92.23,8.46
"69,1",-92.24,8.46
"70,1",-92.24,8.46
"71,1",-92.24,8.46
"72,1",-92.24,8.46
"73,1",-92.24,8.46
"74,1",-92.25,8.46
"75,1",-92.25,8.46
"76,1",-92.25,8.46
"77,1",-92.26,8.46
"78,1",-92.26,8.46
"79,1",-92.27,8.45
"80,1",-92.27,8.45
"81,1",-92.28,8.45
"82,1",-92.28,8.45
"83,1",-92.29,8.45
"84,1",-92.29,8.45
"85,1",-92.3,8.45
"86,1",-92.31,8.45
"87,1",-92.32,8.45
"88,1",-92.32,8.45
"89,1",-92.33,8.45
"90,1",-92.34,8.45
"91,1",-92.35,8.45
"92,1",-92.36,8.44
"93,1",-92.36,8.44
"94,1",-92.37,8.44
"95,1",-92.38,8.44
"96,1",-92.39,8.44
"97,1",-92.39,8.44
"98,1",-92.4,8.44
"99,1",-92.41,8.44
"100,1",-92.41,8.44
"101,1",-92.42,8.44
"102,1",-92.42,8.43
"103,1",-92.42,8.43
"104,1",-92.43,8.43
"105,1",-92.43,8.43
"106,1",-92.43,8.43
"107,1",-92.43,8.43
"108,1",-92.42,8.43
"109,1",-92.42,8.43
"110,1",-92.42,8.43
"111,1",-92.41,8.43
"112,1",-92.4,8.43
"113,1",-92.39,8.43
"114,1",-92.38,8.43
"115,1",-92.37,8.43
"116,1",-92.36,8.43
"117,1",-92.35,8.43
"118,1",-92.33,8.43
"119,1",-92.32,8.43
"120,1",-92.31,8.43
"121,1",-92.29,8.43
"122,1",-92.27,8.43
"123,1",-92.26,8.43
"124,1",-92.24,8.43
"125,1",-92.23,8.43
"126,1",-92.21,8.43
"127,1",-92.2,8.43
"128,1",-92.18,8.43
"129,1",-92.17,8.43
"130,1",-92.16,8.43
"131,1",-92.15,8.43
"132,1",-92.14,8.43
"133,1",-92.14,8.43
"134,1",-92.13,8.43
"135,1",-92.13,8.43
"136,1",-92.13,8.42
"137,1",-92.14,8.42
"138,1",-92.15,8.42
"139,1",-92.16,8.41
"140,1",-92.18,8.41
"141,1",-92.2,8.4
"142,1",-92.22,8.39
"143,1",-92.25,8.38
"144,1",-92.29,8.37
"145,1",-92.33,8.36
"146,1",-92.38,8.35
"147,1",-92.44,8.33
"148,1",-92.5,8.31
"149,1",-92.57,8.29
"150,1",-92.65,8.26
"151,1",-92.74,8.23
"152,1",-92.84,8.2
"153,1",-92.94,8.15
"154,1",-93.06,8.11
"155,1",-93.18,8.05
"156,1",-93.31,7.99
"157,1",-93.45,7.92
"158,1",-93.6,7.84
"159,1",-93.76,7.75
"160,1",-93.93,7.65
"161,1",-94.11,7.53
"162,1",-94.29,7.4
"163,1",-94.48,7.25
"164,1",-94.67,7.09
"165,1",-94.87,6.91
"166,1",-95.07,6.72
"167,1",-95.28,6.5
"168,1",-95.48,6.27
"169,1",-95.68,6.02
"170,1",-95.88,5.74
"171,1",-96.08,5.45
"172,1",-96.27,5.14
"173,1",-96.46,4.81
"174,1",-96.63,4.46
"175,1",-96.79,4.09
"176,1",-96.95,3.71
"177,1",-97.08,3.31
"178,1",-97.21,2.91
"179,1",-97.31,2.5
"180,1",-97.4,2.09
"181,1",-97.47,1.7
"182,1",-97.52,1.34
"183,1",-97.56,1.06
"184,1",-97.57,0.95
"185,1",-97.56,1.06
"186,1",-97.53,1.34
"187,1",-97.49,1.7
"188,1",-97.42,2.09
"1,2",-92.22,8.46
"2,2",-92.22,8.46
"3,2",-92.22,8.46
"4,2",-92.22,8.46
"5,2",-92.22,8.46
"6,2",-92.22,8.46
"7,2",-92.22,8.46
"8,2",-92.22,8.46
"9,2",-92.22,8.46
"10,2",-92.22,8.46
"11,2",-92.22,8.46
"12,2",-92.22,8.46
"13,2",-92.22,8.46
"14,2",-92.22,8.46
"15,2",-92.22,8.46
"16,2",-92.22,8.46
"17,2",-92.22,8.46
"18,2",-92.22,8.46
"19,2",-92.22,8.46
"20,2",-92.22,8.46
"21,2",-92.22,8.46
"22,2",-92.22,8.46
"23,2",-92.22,8.46
"24,2",-92.22,8.46
"25,2",-92.22,8.46
"26,2",-92.22,8.46
"27,2",-92.22,8.46
"28,2",-92.22,8.46
"29,2",-92.22,8.46
"30,2",-92.22,8.46
"31,2",-92.22,8.46
"32,2",-92.22,8.46
"33,2",-92.22,8.46
"34,2",-92.22,8.46
"35,2",-92.22,8.46
"36,2",-92.22,8.46
"37,2",-92.22,8.46
"38,2",-92.22,8.46
"39,2",-92.22,8.46
"40,2",-92.22,8.46
"41,2",-92.22,8.46
"42,2",-92.22,8.46
"43,2",-92.22,8.46
"44,2",-92.22,8.46
"45,2",-92.22,8.46
"46,2",-92.22,8.46
"47,2",-92.22,8.46
"48,2",-92.22,8.46
