location,rssi_mean,rssi_std
"1,1",-91.18,12.38
"2,1",-91.14,12.36
"3,1",-91.1,12.35
"4,1",-91.06,12.33
"5,1",-91.02,12.31
"6,1",-90.98,12.29
"7,1",-90.94,12.27
"8,1",-90.91,12.25
"9,1",-90.87,12.23
"10,1",-90.83,12.22
"11,1",-90.79,12.2
"12,1",-90.75,12.18
"13,1",-90.71,12.16
"14,1",-90.68,12.14
"15,1",-90.64,12.12
"16,1",-90.61,12.1
"17,1",-90.58,12.08
"18,1",-90.55,12.07
"19,1",-90.52,12.05
"20,1",-90.49,12.03
"21,1",-90.47,12.01
"22,1",-90.45,11.99
"23,1",-90.43,11.98
"24,1",-90.41,11.96
"25,1",-90.4,11.94
"26,1",-90.39,11.92
"27,1",-90.38,11.91
"28,1",-90.38,11.89
"29,1",-90.38,11.87
"30,1",-90.39,11.85
"31,1",-90.4,11.84
"32,1",-90.41,11.82
"33,1",-90.43,11.8
"34,1",-90.45,11.78
"35,1",-90.48,11.77
"36,1",-90.51,11.75
"37,1",-90.55,11.73
"38,1",-90.59,11.71
"39,1",-90.64,11.69
"40,1",-90.69,11.67
"41,1",-90.74,11.65
"42,1",-90.8,11.62
"43,1",-90.87,11.6
"44,1",-90.94,11.58
"45,1",-91.01,11.55
"46,1",-91.08,11.53
"47,1",-91.16,11.5
"48,1",-91.25,11.47
"49,1",-91.34,11.44
"50,1",-91.43,11.41
"51,1",-91.52,11.38
"52,1",-91.62,11.35
"53,1",-91.71,11.32
"54,1",-91.82,11.28
"55,1",-91.92,11.25
"56,1",-92.02,11.21
"57,1",-92.13,11.17
"58,1",-92.23,11.14
"59,1",-92.34,11.1
"60,1",-92.45,11.06
"61,1",-92.55,11.02
"62,1",-92.66,10.98
"63,1",-92.76,10.94
"64,1",-92.87,10.9
"65,1",-92.97,10.86
"66,1",-93.07,10.83
"67,1",-93.17,10.79
"68,1",-93.26,10.75
"69,1",-93.35,10.72
"70,1",-93.44,10.69
"71,1",-93.53,10.66
"72,1",-93.61,10.64
"73,1",-93.69,10.61
"74,1",-93.76,10.59
"75,1",-93.83,10.57
"76,1",-93.9,10.56
"77,1",-93.96,10.55
"78,1",-94.02,10.54
"79,1",-94.07,10.54
"80,1",-94.11,10.54
"81,1",-94.16,10.55
"82,1",-94.19,10.56
"83,1",-94.22,10.57
