location,rssi_mean,rssi_std
"1,1",-91.3,10.2
"2,1",-91.3,10.2
"3,1",-91.3,10.2
"4,1",-91.3,10.2
"5,1",-91.3,10.2
"6,1",-91.3,10.19
"7,1",-91.3,10.19
"8,1",-91.3,10.19
"9,1",-91.3,10.19
"10,1",-91.3,10.18
"11,1",-91.3,10.18
"12,1",-91.3,10.18
"13,1",-91.3,10.18
"14,1",-91.3,10.17
"15,1",-91.3,10.17
"16,1",-91.3,10.17
"17,1",-91.3,10.17
"18,1",-91.3,10.16
"19,1",-91.29,10.16
"20,1",-91.29,10.16
"21,1",-91.29,10.16
"22,1",-91.29,10.15
"23,1",-91.29,10.15
"24,1",-91.29,10.15
"25,1",-91.29,10.15
"26,1",-91.29,10.15
"27,1",-91.29,10.14
"28,1",-91.29,10.14
"29,1",-91.29,10.14
"30,1",-91.29,10.14
"31,1",-91.29,10.13
"32,1",-91.28,10.13
"33,1",-91.28,10.13
"34,1",-91.28,10.13
"35,1",-91.28,10.13
"36,1",-91.28,10.12
"37,1",-91.28,10.12
"38,1",-91.28,10.12
"39,1",-91.28,10.12
"40,1",-91.27,10.11
"41,1",-91.27,10.11
"42,1",-91.27,10.11
"43,1",-91.27,10.11
"44,1",-91.27,10.11
"45,1",-91.27,10.1
"46,1",-91.27,10.1
"47,1",-91.26,10.1
"48,1",-91.26,10.1
"49,1",-91.26,10.1
"50,1",-91.26,10.1
"51,1",-91.26,10.09
"52,1",-91.25,10.09
"53,1",-91.25,10.09
"54,1",-91.25,10.09
"55,1",-91.25,10.09
"56,1",-91.25,10.09
"57,1",-91.24,10.08
"58,1",-91.24,10.08
"59,1",-91.24,10.08
"60,1",-91.24,10.08
"61,1",-91.24,10.08
"62,1",-91.23,10.08
"63,1",-91.23,10.08
"64,1",-91.23,10.07
"65,1",-91.23,10.07
"66,1",-91.22,10.07
"67,1",-91.22,10.07
"68,1",-91.22,10.07
"69,1",-91.21,10.07
"70,1",-91.21,10.07
"71,1",-91.21,10.07
"72,1",-91.2,10.07
"73,1",-91.2,10.07
"74,1",-91.19,10.07
"75,1",-91.19,10.07
"76,1",-91.18,10.07
"77,1",-91.18,10.07
"78,1",-91.18,10.07
"79,1",-91.17,10.07
"80,1",-91.34,10.03
"81,1",-91.16,10.07
"82,1",-91.15,10.07
"83,1",-91.15,10.07
"84,1",-91.14,10.07
"85,1",-91.13,10.07
"86,1",-91.13,10.07
"87,1",-91.12,10.07
"88,1",-91.12,10.07
"89,1",-91.11,10.07
"90,1",-91.1,10.08
"91,1",-91.09,10.08
"92,1",-91.09,10.08
"93,1",-91.08,10.08
"94,1",-91.07,10.08
"95,1",-91.07,10.08
"96,1",-91.06,10.08
"97,1",-91.05,10.09
"98,1",-91.05,10.09
"99,1",-91.04,10.09
"100,1",-91.03,10.09
"101,1",-91.02,10.09
"102,1",-91.02,10.1
"103,1",-91.01,10.1
"104,1",-91.0,10.1
"105,1",-91.0,10.1
"106,1",-90.99,10.11
"107,1",-90.98,10.11
"108,1",-90.98,10.11
"109,1",-90.97,10.11
"110,1",-90.97,10.11
"111,1",-90.96,10.12
"112,1",-90.96,10.12
"113,1",-90.95,10.12
"114,1",-90.94,10.12
"115,1",-90.94,10.13
"116,1",-90.93,10.13
"117,1",-90.93,10.13
"118,1",-90.93,10.13
"119,1",-90.92,10.14
"120,1",-90.92,10.14
