ID,Coodinate
1,"79,24"
2,"70,28"
3,"54,28"
4,"46,28"
5,"31,28"
6,"19,28"
7,"16,33"
8,"27,33"
9,"89,41"
10,"50,33"
11,"62,33"
12,"74,33"
13,"84,33"
14,"77,38"
15,"72,38"
16,"54,38"
17,"46,38"
18,"30,38"
19,"24,38"
20,"40,44"
21,"57,44"
22,"55,52"
23,"47,52"
24,"39,54"
25,"27,54"
26,"16,55"
27,"33,57"
28,"51,56"
29,"62,55"
30,"67,57"
31,"74,55"
32,"85,55"
33,"14,55"
34,"06,55"
35,"71,58"
36,"69,69"
37,"72,76"
38,"69,82"
39,"77,54"
40,"85,54"
41,"94,58"
42,"94,51"
43,"89,41"
44,"96,41"
45,"102,54"
46,"110,54"
47,"118,54"
48,"118,47"
49,"118,40"
50,"118,32"
51,"108,32"
52,"118,25"
53,"112,25"
54,"112,17"
55,"106,25"
56,"99,25"
57,"92,25"
58,"122,54"
59,"134,52"
60,"129,58"
61,"133,58"
62,"133,36"
63,"149,36"
64,"149,23"
65,"133,23"
66,"150,52"
67,"142,54"
68,"142,61"
69,"150,61"
70,"162,54"
71,"154,66"
72,"142,72"
